web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572901291-1879","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/137-Goodfellow-Dr-Orinda-CA-94563/2086286931_zpid/","Orinda, CA 94563","Lot/land","137 Goodfellow Dr,","2","https://www.zillow.com/orinda-ca/2_p/","","","null","0.53 acres","null","null","$389,000","null","null","null","null","null","null","$2,805/mo","9","10","10","{""targetDiv"":""gpt-ad-6d2286a8-3a56-4bf2-86ab-8cc89decbe4d"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94563"",""aamgnrc1"":""137 Goodfellow Dr"",""mlat"":""37.8615"",""bd"":""0"",""fsbid"":""4383"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS6eiltwvo40ch0000000000.jpg"",""zusr"":""true"",""city"":""Orinda"",""proptp"":""lot"",""pid"":""2086286931"",""lot"":""4"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-887170218054377596"",""premieragent"":""no"",""sqftrange"":""10000_and_up"",""price"":""389000"",""sqft"":""23040"",""posting_url"":""https://www.coldwellbankerhomes.com/ca/orinda/137-goodfellow-dr/pid_28420193/?utm_campaign=OLDP-Zillow&utm_source=zillow&utm_medium=oldp&utm_content=listing"",""mlong"":""-122.1433"",""state"":""CA"",""prange"":""350-399k""}}","null","null","null","null"
"1572901266-1864","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/11-Alta-Vista-Dr-Orinda-CA-94563/95417353_zpid/","Orinda, CA 94563","Lot/land","11 Alta Vista Dr,","2","https://www.zillow.com/orinda-ca/2_p/","","","null","0.6 acres","null","None","$150,000","null","null","null","null","null","null","null","9","10","9","No Data","null","null","null","null"
"1572901496-2079","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/0-El-Caminito-Orinda-CA-94563/2082274637_zpid/","Orinda, CA 94563","Lot/land","0 El Caminito,","","","","","null","4.89 acres","null","None","$2,195,000","null","null","null","null","null","null","null","9","10","9","{""targetDiv"":""gpt-ad-237580a9-9cbc-41ec-b28b-49e41e250f38"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94563"",""aamgnrc1"":""0 El Caminito"",""mlat"":""37.892704"",""bd"":""0"",""fsbid"":""14106"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrd7s943600fa1000000000.jpg"",""zusr"":""true"",""city"":""Orinda"",""proptp"":""lot"",""pid"":""2082274637"",""lot"":""7"",""listtp"":""buy_agent"",""zguidh"":""6116940932851512740"",""premieragent"":""no"",""price"":""2195000"",""posting_url"":"""",""mlong"":""-122.182498"",""state"":""CA"",""prange"":""2-2_499m""}}","null","null","null","null"
"1572901482-2063","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/257-Overhill-Rd-Orinda-CA-94563/18477530_zpid/","Orinda, CA 94563","For sale","257 Overhill Rd,","","","","","2,357","4","3","$1,887,645","$1,795,000","Single Family","1946","Forced air","Central","Single Family","0.31 acres","null","9","10","9","{""targetDiv"":""gpt-ad-0ef6e3f6-bd3a-40b2-b3cc-cf0671c467ed"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""257 Overhill Rd"",""bd"":""4"",""fsbid"":""14106"",""city"":""Orinda"",""proptp"":""sfh"",""pid"":""18477530"",""lot"":""3"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_agent"",""zguidh"":""-4958472878209439838"",""sqftrange"":""2000-2499"",""price"":""1795000"",""sqft"":""2357"",""posting_url"":"""",""mlong"":""-122.161938"",""state"":""CA"",""park"":""yes"",""prange"":""1_5-1_999m"",""zip"":""94563"",""mlat"":""37.876503"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbdklz49uen460000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1887645"",""premieragent"":""no""}}","null","null","null","null"
"1572901331-1912","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/2-Camino-Del-Cielo-Orinda-CA-94563/18476271_zpid/","Orinda, CA 94563","For sale","2 Camino Del Cielo,","2","https://www.zillow.com/orinda-ca/2_p/","","","4,083","4","4","$2,922,344","$2,938,000","Single Family","2008","Forced air","None","Single Family","0.87 acres","$9,983/mo","9","10","9","{""targetDiv"":""gpt-ad-87366303-805a-4e14-8d42-44c381048e3e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2 Camino Del Cielo"",""bd"":""4"",""fsbid"":""14106"",""city"":""Orinda"",""proptp"":""sfh"",""pid"":""18476271"",""lot"":""5"",""zestibuck"":""2_5-2_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-6022212962187192527"",""sqftrange"":""4000-4499"",""price"":""2938000"",""sqft"":""4083"",""posting_url"":""http://www.newcalrealty.com"",""mlong"":""-122.204701"",""state"":""CA"",""park"":""yes"",""prange"":""2_5-2_999m"",""zip"":""94563"",""mlat"":""37.88238"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3vkncagf2k3y0000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""2000-2009"",""zestimate"":""2922344"",""premieragent"":""no""}}","null","null","null","null"
"1572901375-1953","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/59-Windy-Creek-Way-Orinda-CA-94563/122008757_zpid/","Orinda, CA 94563","New construction","59 Windy Creek Way,","","","","","3,331","4","5","$1,931,091","$1,930,855","Single Family","No Data","No Data","No Data","Single Family","0.28 acres","null","9","10","9","{""targetDiv"":""gpt-ad-981b53cf-7350-4b35-b5c3-786b5042acf1"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""59 Windy Creek Way"",""bd"":""4"",""fsbid"":""12949"",""city"":""Orinda"",""proptp"":""sfh"",""pid"":""122008757"",""lot"":""3"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""3000-3499"",""price"":""1930855"",""sqft"":""3331"",""posting_url"":""https://www.taylormorrison.com/ca/bay-area/orinda/wilder-canyon/floor-plans/residence-2-wilder-plan/home-available-now-at-59-windy-creek-way-94563"",""state"":""CA"",""mlong"":""-122.18406"",""cnty"":""Solano"",""prange"":""1_5-1_999m"",""zip"":""94563"",""mlat"":""37.860097"",""plid"":""13167"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3znsh5rmmxg01000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""zestimate"":""1931091"",""premieragent"":""no"",""builderChatId"":""12949-812706"",""dma"":""35""}}","null","null","null","null"
"1572901288-1877","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/6-Linda-Vis-Orinda-CA-94563/18474839_zpid/","Orinda, CA 94563","Lot/land","6 Linda Vis,","2","https://www.zillow.com/orinda-ca/2_p/","","","null","0.29 acres","null","None","$499,900","null","null","null","null","null","null","null","9","10","9","{""targetDiv"":""gpt-ad-7d68bc38-3b14-4872-9d55-5d7e3050e305"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94563"",""aamgnrc1"":""6 Linda Vis"",""mlat"":""37.888462"",""bd"":""0"",""fsbid"":""14106"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISneprsacus82g1000000000.jpg"",""zusr"":""true"",""city"":""Orinda"",""proptp"":""lot"",""pid"":""18474839"",""yrblt"":""2010-2019"",""lot"":""3"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-2669699588064798043"",""premieragent"":""no"",""price"":""499900"",""posting_url"":""http://www.clarkthompson.com"",""mlong"":""-122.189039"",""state"":""CA"",""park"":""yes"",""prange"":""450-499k""}}","null","null","null","null"
"1572901351-1930","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/36-Dias-Dorados-Orinda-CA-94563/18474703_zpid/","Orinda, CA 94563","For sale","36 Dias Dorados,","","","","","2,064","4","3","$1,276,747","$1,295,000","Single Family","1961","Forced air","Central","Single Family","0.95 acres","$4,700/mo","9","10","9","{""targetDiv"":""gpt-ad-a78d3985-c9dd-4bf5-992d-cf0e3304790e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""36 Dias Dorados"",""bd"":""4"",""fsbid"":""14224"",""city"":""Orinda"",""proptp"":""sfh"",""pid"":""18474703"",""lot"":""5"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-6644480367579458390"",""sqftrange"":""2000-2499"",""price"":""1295000"",""sqft"":""2064"",""posting_url"":""http://www.cienayi.com"",""mlong"":""-122.187032"",""state"":""CA"",""prange"":""1-1_499m"",""zip"":""94563"",""mlat"":""37.901804"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISn6futeak2kn50000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1960-1969"",""zestimate"":""1276747"",""premieragent"":""no""}}","null","null","null","null"
"1572901300-1885","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/0-Tres-Mesas-Orinda-CA-94563/2093973550_zpid/","Orinda, CA 94563","Lot/land","0 Tres Mesas,","2","https://www.zillow.com/orinda-ca/2_p/","","","null","1.8 acres","null","None","$299,000","null","null","null","null","null","null","$2,520/mo","9","10","9","{""targetDiv"":""gpt-ad-5543186b-40ed-47d2-91e2-cb3c9b5edcd5"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94563"",""aamgnrc1"":""0 Tres Mesas"",""mlat"":""37.880207"",""bd"":""0"",""fsbid"":""13357"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISuggosqhpk7si0000000000.jpg"",""zusr"":""true"",""city"":""Orinda"",""proptp"":""lot"",""pid"":""2093973550"",""lot"":""6"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""4634732003841636299"",""premieragent"":""no"",""price"":""299000"",""posting_url"":""http://www.mcguire.com/property/339439972/syn/43"",""mlong"":""-122.210175"",""state"":""CA"",""prange"":""250-299k""}}","null","null","null","null"
"1572901461-2038","https://www.zillow.com/homes/orinda-ca_rb/","","https://www.zillow.com/homedetails/9-Kittiwake-Rd-Orinda-CA-94563/18475507_zpid/","Orinda, CA 94563","For sale","9 Kittiwake Rd,","","","","","1,564","3","2","$1,184,347","$1,135,000","Single Family","1952","Forced air","Central","Single Family","0.46 acres","$4,046/mo","9","10","9","{""targetDiv"":""gpt-ad-84bf8c45-a39d-4b42-b4de-3746a7e1db86"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""9 Kittiwake Rd"",""bd"":""3"",""fsbid"":""14106"",""city"":""Orinda"",""proptp"":""sfh"",""pid"":""18475507"",""lot"":""3"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-7117624257324272273"",""sqftrange"":""1500-1999"",""price"":""1135000"",""sqft"":""1564"",""posting_url"":""http://www.clarkthompson.com"",""mlong"":""-122.201473"",""state"":""CA"",""park"":""yes"",""prange"":""1-1_499m"",""zip"":""94563"",""mlat"":""37.899009"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbt44g70y4iee1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1184347"",""premieragent"":""no""}}","null","null","null","null"
