web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572920237-2129","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/10600-Chardonnay-Ln-Los-Altos-Hills-CA-94024/19628344_zpid/","Los Altos Hills, CA 94024","For sale","10600 Chardonnay Ln,","3,185","4","4","$4,036,420","$3,988,000","Single Family","1976","Forced air","Central","2 spaces","1.02 acres","$9,500/mo","9","10","9","Central AC","Built up","null","Individual Electric Meters, Public Utilities, Natural Gas, Individual Gas Meters","$19,591"
"1572919789-2010","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/27861-Natoma-Rd-Los-Altos-Hills-CA-94022/19528457_zpid/","Los Altos Hills, CA 94022","For sale","27861 Natoma Rd,","8,680","6","9","null","$16,000,000","Single Family","2010","Other","No Data","3 spaces","3 acres","$35,083/mo","null","null","null","null","No","null","null","$112,981"
"1572919884-2033","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/26600-Elena-Rd-Los-Altos-Hills-CA-94022/19528572_zpid/","Los Altos Hills, CA 94022","For sale","26600 Elena Rd,","3,727","4","4","null","$3,998,000","Single Family","1963","Forced air","Central","2 spaces","1.8 acres","$9,235/mo","9","9","9","Multi-Zone, Central AC","Composition","null","Individual Electric Meters, Public Utilities, Individual Gas Meters","$26,621"
"1572920491-2204","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/Los-Altos-Hls-Los-Altos-Hills-CA-94022/2091194751_zpid/","Los Altos Hills, CA 94022","New construction","Los Altos Hls,","4,453","5","7","null","$12,000,000","Single Family","No Data","No Data","Central","Attached Garage","2.4 acres","null","9","9","9","null","Yes","null","null","null"
"1572920066-2089","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/26991-Taaffe-Rd-Los-Altos-Hills-CA-94022/19529237_zpid/","Los Altos Hills, CA 94022","For sale","26991 Taaffe Rd,","7,538","6","9","$7,361,080","$7,495,000","Single Family","2015","Forced air, Radiant","Central","2 spaces","1.21 acres","$17,304/mo","9","9","9","Ceiling Fan, Multi-Zone, Central AC","Tile","null","Solar Panels - Owned","$88,022"
"1572920354-2161","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/12901-Tripoli-Ct-Los-Altos-Hills-CA-94022/19528731_zpid/","Los Altos Hills, CA 94022","For sale","12901 Tripoli Ct,","4,922","6","3","$4,154,150","$4,150,000","Single Family","1974","Forced air","Central","2 spaces","0.97 acres","$11,225/mo","9","8","10","null","Composition","null","Natural Gas, Master Meter","$5,520"
"1572920015-2073","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/0-Page-Mill-Rd-Palo-Alto-CA-94304/2113604578_zpid/","Palo Alto, CA 94304","Lot/land","0 Page Mill Rd,","null","5.04 acres","null","None","$4,000,000","null","null","null","null","null","null","$3,300/mo","9","8","10","null","Residential Lots & Land","Square Feet","Electricity - On Site","null"
"1572920086-2093","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/27319-Julietta-Ln-Los-Altos-Hills-CA-94022/19528798_zpid/","Los Altos Hills, CA 94022","For sale","27319 Julietta Ln,","4,688","4","4","$5,434,127","$5,495,000","Single Family","1975","Forced air","Central","2 spaces","1.2 acres","$12,802/mo","9","9","9","null","Built up","null","Public Utilities","$18,531"
"1572920367-2166","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/12190-Padre-Ct-Los-Altos-Hills-CA-94022/19528674_zpid/","Los Altos Hills, CA 94022","Pre-foreclosure","12190 Padre Ct,","6,582","5","4","$4,515,531","$4,515,531","Single Family","1980","Forced air","Central","4 spaces","1.16 acres","null","9","9","9","null","Composition","null","null","$24,920"
"1572919815-2017","https://www.zillow.com/homes/los-altos-hill-CA_rb/","","https://www.zillow.com/homedetails/11564-Arroyo-Oaks-Dr-Los-Altos-Hills-CA-94024/19627808_zpid/","Los Altos Hills, CA 94024","For sale","11564 Arroyo Oaks Dr,","3,683","4","5","null","$4,995,000","Single Family","1992","Other","No Data","4 spaces","1.46 acres","$12,500/mo","9","10","9","null","No","null","null","$41,246"
