web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572899981-1262","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/0-Lake-County-Hwy-Calistoga-CA-94515/2104583656_zpid/","Calistoga, CA 94515","Lot/land","0 Lake County Hwy,","2","https://www.zillow.com/calistoga-ca/2_p/","","","null","4.77 acres","null","None","$795,000","null","null","null","null","null","null","$1,950/mo","4","6","null","{""targetDiv"":""gpt-ad-8c6cfaf5-5064-4ebe-b84d-7ae6ae260362"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94515"",""aamgnrc1"":""0 Lake County Hwy"",""mlat"":""38.603809"",""bd"":""0"",""fsbid"":""13601"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISuwwz8lf4390s0000000000.jpg"",""zusr"":""true"",""city"":""Calistoga"",""proptp"":""lot"",""pid"":""2104583656"",""lot"":""7"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""7976711817316967090"",""premieragent"":""no"",""price"":""795000"",""posting_url"":""http://greathomes.org/mls/property/21912844"",""mlong"":""-122.590393"",""state"":""CA"",""prange"":""700-799k""}}","null","null","null","null"
"1572900116-1306","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/2412-Foothill-Blvd-Calistoga-CA-94515/2110811689_zpid/","Calistoga, CA 94515","For sale","2412 Foothill Blvd,","","","","","955","2","2","$170,429","$175,000","Mobile / Manufactured","2016","Other","Central","Mobile / Manufactured","$183","$2,570/mo","4","6","null","{""targetDiv"":""gpt-ad-5fca427b-333b-4212-b746-a82c7c7c474c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94515"",""aamgnrc1"":""2412 Foothill Blvd"",""mlat"":""38.581784"",""bd"":""2"",""fsbid"":""13601"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISjzyp8yj2ksf80000000000.jpg"",""zusr"":""true"",""city"":""Calistoga"",""proptp"":""mm"",""pid"":""2110811689"",""price_band"":""z100"",""yrblt"":""2010-2019"",""zestimate"":""170429"",""zestibuck"":""150-199k"",""listtp"":""buy_agent"",""zguidh"":""4144038599061406702"",""premieragent"":""no"",""sqftrange"":""500-999"",""price"":""175000"",""sqft"":""955"",""posting_url"":""http://greathomes.org/mls/property/21920295"",""mlong"":""-122.593614"",""state"":""CA"",""prange"":""150-199k""}}","null","null","null","null"
"1572900054-1286","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/4447-Saint-Helena-Hwy-Calistoga-CA-94515/2084366187_zpid/","Calistoga, CA 94515","For sale","4447 Saint Helena Hwy,","2","https://www.zillow.com/calistoga-ca/2_p/","","","3,669","2","3","$6,325,000","$6,900,000","Single Family","2014","No Data","No Data","Single Family","18.06 acres","$22,378/mo","4","6","null","{""targetDiv"":""gpt-ad-b0538e48-b24b-4f93-a317-5b1e1d420fd5"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""4447 Saint Helena Hwy"",""bd"":""2"",""fsbid"":""13601"",""city"":""Calistoga"",""proptp"":""sfh"",""pid"":""2084366187"",""lot"":""9"",""zestibuck"":""6m-6_999m"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-687349251130179365"",""sqftrange"":""3500-3999"",""price"":""6900000"",""sqft"":""3669"",""posting_url"":""http://greathomes.org/mls/property/21912168"",""mlong"":""-122.561427"",""state"":""CA"",""prange"":""6m-6_999m"",""zip"":""94515"",""mlat"":""38.562794"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISyb3el4by3vmu0000000000.jpg"",""zusr"":""true"",""price_band"":""z3m"",""yrblt"":""2010-2019"",""zestimate"":""6325000"",""premieragent"":""no""}}","null","null","null","null"
"1572900070-1291","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/11080-Franz-Valley-Rd-Calistoga-CA-94515/2083791756_zpid/","Calistoga, CA 94515","For sale","11080 Franz Valley Rd,","","","","","6,615","3","4.5","None","$15,000,000","Single Family","No Data","No Data","No Data","Single Family","40.3 acres","$7,897/mo","4","6","null","{""targetDiv"":""gpt-ad-6612c82e-b645-4fe6-a485-bfc1394d0c6f"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94515"",""aamgnrc1"":""11080 Franz Valley Rd"",""mlat"":""38.614344"",""bd"":""3"",""fsbid"":""14224"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf05oa16w9cmg0000000000.jpg"",""zusr"":""true"",""city"":""Calistoga"",""proptp"":""sfh"",""pid"":""2083791756"",""lot"":""10"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-5023428701318379887"",""premieragent"":""no"",""sqftrange"":""6000-6999"",""price"":""15000000"",""sqft"":""6615"",""posting_url"":"""",""mlong"":""-122.682852"",""state"":""CA"",""prange"":""15m_and_up""}}","null","null","null","null"
"1572899959-1258","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/2412-Foothill-Blvd-SPC-88-Calistoga-CA-94515/2088305013_zpid/","Calistoga, CA 94515","For sale","2412 Foothill Blvd SPC 88,","","","3","https://www.zillow.com/calistoga-ca/3_p/","1,392","2","2","null","$129,000","Mobile / Manufactured","1973","Forced air","Central","Mobile / Manufactured","$93","$2,900/mo","4","6","null","{""targetDiv"":""gpt-ad-d711a1d4-de81-419e-9fc3-b83f94ed39d6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Spc 88"",""aamgnrc1"":""2412 Foothill Blvd"",""bd"":""2"",""fsbid"":""6038"",""city"":""Calistoga"",""proptp"":""mm"",""pid"":""2088305013"",""zestibuck"":""100-149k"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""7751551119516016841"",""sqftrange"":""1000-1499"",""price"":""129000"",""sqft"":""1392"",""posting_url"":""http://www.bhgre.com/property/2412-FOOTHILL-BLVD-CALISTOGA-CA-94515/90118953/detail"",""mlong"":""-122.591916"",""state"":""CA"",""prange"":""100-149k"",""zip"":""94515"",""mlat"":""38.58249"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISmamqebfflz711000000000.jpg"",""zusr"":""true"",""price_band"":""z100"",""yrblt"":""1970-1979"",""zestimate"":""123000"",""premieragent"":""no""}}","null","null","null","null"
"1572899965-1259","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/2412-Foothill-Blvd-SPC-165-Calistoga-CA-94515/2087614830_zpid/","Calistoga, CA 94515","For sale","2412 Foothill Blvd SPC 165,","","","3","https://www.zillow.com/calistoga-ca/3_p/","1,580","2","2","null","$119,000","Mobile / Manufactured","1977","Other","Central","Mobile / Manufactured","$75","$3,000/mo","4","6","null","{""targetDiv"":""gpt-ad-aec1d5f3-e63a-4cab-9864-7b1e741c9b40"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Spc 165"",""zip"":""94515"",""aamgnrc1"":""2412 Foothill Blvd"",""mlat"":""38.58249"",""bd"":""2"",""fsbid"":""6038"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS2rdnwmevs8u91000000000.jpg"",""zusr"":""true"",""city"":""Calistoga"",""proptp"":""mm"",""pid"":""2087614830"",""yrblt"":""1970-1979"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""3857358185619875"",""premieragent"":""no"",""sqftrange"":""1500-1999"",""price"":""119000"",""sqft"":""1580"",""posting_url"":""http://www.bhgre.com/property/2412-Foothill-Boulevard-Unit:-165-Calistoga-CA-94515/M-21825677-CABAREIS/detail"",""mlong"":""-122.591916"",""state"":""CA"",""prange"":""100-149k""}}","null","null","null","null"
"1572900129-1310","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/1015-Myrtle-St-Calistoga-CA-94515/129657665_zpid/","Calistoga, CA 94515","For sale","1015 Myrtle St,","","","","","2,220","3","2","$1,016,292","$1,045,000","Single Family","1914","Other","Other","Single Family","7,405 sqft","$2,750/mo","4","6","null","{""targetDiv"":""gpt-ad-b24d3427-92c5-40c4-b3fc-349af8a68904"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1015 Myrtle St"",""bd"":""3"",""fsbid"":""13764"",""city"":""Calistoga"",""proptp"":""sfh"",""pid"":""129657665"",""lot"":""2"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""-308190321127969527"",""sqftrange"":""2000-2499"",""price"":""1045000"",""sqft"":""2220"",""posting_url"":""http://www.homeresearch.com/Listing/Detail/150269?src=zillow"",""mlong"":""-122.579278"",""state"":""CA"",""prange"":""1-1_499m"",""zip"":""94515"",""mlat"":""38.575488"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3n2gkek1fjga1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1900-1919"",""zestimate"":""1016292"",""premieragent"":""no""}}","null","null","null","null"
"1572900073-1292","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/3027-Foothill-Blvd-Calistoga-CA-94515/2109764450_zpid/","Calistoga, CA 94515","Lot/land","3027 Foothill Blvd,","","","","","null","10.92 acres","null","None","$1,600,000","null","null","null","null","null","null","$1,950/mo","4","6","null","{""targetDiv"":""gpt-ad-5eaaf80e-ac15-443a-8ef7-1f91fbc139bb"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94515"",""aamgnrc1"":""3027 Foothill Blvd"",""mlat"":""38.585136"",""bd"":""0"",""fsbid"":""13601"",""z_listing_image_url"":"""",""zusr"":""true"",""city"":""Calistoga"",""proptp"":""lot"",""pid"":""2109764450"",""lot"":""9"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""8598450494203065342"",""premieragent"":""no"",""price"":""1600000"",""posting_url"":""http://greathomes.org/mls/property/21916820"",""mlong"":""-122.603773"",""state"":""CA"",""prange"":""1_5-1_999m""}}","null","null","null","null"
"1572900189-1325","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/community/calistoga-estates/2083689474_zpid/","Calistoga, CA 94515","New construction","Buildable plan: Lot 3, Calistoga Estates,","","","","","3,093","3","4","$2,070,376","$2,194,900","Single Family","2019","Forced air","Central","Single Family","No Data","null","4","6","null","{""targetDiv"":""gpt-ad-e4008a10-20f1-4061-98c4-2969ee782316"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 2Q7GB0"",""aamgnrc1"":""920 Highland Ct"",""bd"":""3"",""fsbid"":""14667"",""city"":""Calistoga"",""proptp"":""sfh"",""pid"":""2083689474"",""zestibuck"":""2-2_499m"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""3000-3499"",""price"":""2194900"",""sqft"":""3093"",""posting_url"":""https://ryderhomes.com/communities/northern-california/calistoga/calistoga-estates/"",""state"":""CA"",""mlong"":""-122.598624"",""cnty"":""Napa"",""park"":""yes"",""prange"":""2-2_499m"",""zip"":""94515"",""mlat"":""38.581593"",""plid"":""28702170"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISi3q56d155pzj1000000000.jpg"",""zusr"":""true"",""price_band"":""z2m"",""yrblt"":""2010-2019"",""zestimate"":""2070376"",""premieragent"":""no"",""builderChatId"":""14667-822074"",""dma"":""37""}}","null","null","null","null"
"1572899953-1257","https://www.zillow.com/homes/calistoga-CA_rb/","","https://www.zillow.com/homedetails/8341-Franz-Valley-Rd-Calistoga-CA-94515/96069729_zpid/","Calistoga, CA 94515","Lot/land","8341 Franz Valley Rd,","","","3","https://www.zillow.com/calistoga-ca/3_p/","null","0.9 acres","null","null","$350,000","null","null","null","null","null","null","null","4","6","null","No Data","null","null","null","null"
