web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572920651-2240","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/16-Ivy-Ln-San-Anselmo-CA-94960/19241336_zpid/","San Anselmo, CA 94960","For sale","16 Ivy Ln,","2,040","4","3","$1,208,540","$1,195,000","Single Family","1993","Forced air, Other","No Data","2 spaces","0.26 acres","$4,800/mo","9","8","9","null","Composition","null","null","$17,824"
"1572920261-2138","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/230-Oakcrest-Rd-San-Anselmo-CA-94960/19300817_zpid/","San Anselmo, CA 94960","For sale","230 Oakcrest Rd,","3,500","5","5","$2,415,201","$2,465,000","Single Family","1966","Other, Radiant","None","2 spaces","0.34 acres","$8,297/mo","8","8","9","null","No","null","null","$23,210"
"1572920531-2216","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/12-Berkeley-Ave-San-Anselmo-CA-94960/19238882_zpid/","San Anselmo, CA 94960","For sale","12 Berkeley Ave,","1,603","3","3","null","$1,295,000","Single Family","1988","Forced air","No Data","2 spaces","0.35 acres","$5,300/mo","9","8","9","null","Composition","null","null","$12,368"
"1572920679-2247","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/137-Morningside-Dr-San-Anselmo-CA-94960/19239163_zpid/","San Anselmo, CA 94960","For sale","137 Morningside Dr,","2,500","5","3","$1,549,363","$1,495,000","Single Family","1963","Other","Wall","2 spaces","5,249 sqft","$6,000/mo","9","8","9","null","Composition","null","null","$18,087"
"1572920637-2238","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/35-Allyn-Ave-San-Anselmo-CA-94960/19241472_zpid/","San Anselmo, CA 94960","For sale","35 Allyn Ave,","1,300","2","3","null","$1,175,000","Single Family","1900","Radiant","No Data","2 spaces","7,405 sqft","$4,350/mo","9","8","9","null","Composition","null","null","$10,927"
"1572920710-2251","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/88-Woodside-Dr-San-Anselmo-CA-94960/19239805_zpid/","San Anselmo, CA 94960","For sale","88 Woodside Dr,","2,423","4","3","$1,466,216","$1,395,000","Single Family","1961","Other","Central","2 spaces","0.35 acres","$5,400/mo","8","8","9","null","Composition","null","null","$14,042"
"1572920661-2243","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/15-Monterey-Ave-San-Anselmo-CA-94960/19239954_zpid/","San Anselmo, CA 94960","For sale","15 Monterey Ave,","1,905","4","2","$1,517,810","$1,475,000","Single Family","1957","Stove","No Data","None","5,662 sqft","$4,995/mo","8","8","9","null","Composition","null","null","$3,513"
"1572920253-2134","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/580-Redwood-Rd-San-Anselmo-CA-94960/2093549922_zpid/","San Anselmo, CA 94960","Lot/land","580 Redwood Rd,","null","7,840 sqft","null","None","$349,000","null","null","null","null","null","null","$2,600/mo","9","8","9","null","Hills, Panoramic, Valley","null","null","null"
"1572920361-2164","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/89-S-Oak-Ave-San-Anselmo-CA-94960/19241903_zpid/","San Anselmo, CA 94960","For sale","89 S Oak Ave,","2,263","4","3","$1,865,022","$1,890,000","Single Family","1962","Other","No Data","2 spaces","0.74 acres","$6,500/mo","9","8","9","null","No","null","null","$19,770"
"1572920398-2176","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/53-Katrina-Ln-San-Anselmo-CA-94960/19300623_zpid/","San Anselmo, CA 94960","For sale","53 Katrina Ln,","3,539","4","3","$2,041,327","$2,095,000","Single Family","1973","Other","No Data","3 spaces","1.44 acres","$7,100/mo","8","8","9","null","No","null","null","$20,727"
"1572920271-2140","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/48-Ross-Ave-San-Anselmo-CA-94960/19242052_zpid/","San Anselmo, CA 94960","Pre-foreclosure","48 Ross Ave,","null","2","null","$629,444","$629,444","Single Family","1927","Other","No Data","1 space","4,250 sqft","null","9","8","9","null","No","null","null","$5,964"
"1572920699-2249","https://www.zillow.com/homes/san-anselmo-CA_rb/","","https://www.zillow.com/homedetails/371-Oak-Ave-San-Anselmo-CA-94960/19241899_zpid/","San Anselmo, CA 94960","Coming soon: Dec 3.","371 Oak Ave,","1,947","3","4","$1,793,284","$1,695,000","Single Family","1959","Other","No Data","No Data","0.28 acres","$6,200/mo","9","8","9","null","Built up","null","null","$23,040"
