web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572907272-1177","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/212-Merlot-Ln-Oakley-CA-94561/18293996_zpid/","Oakley, CA 94561","Pre-foreclosure","212 Merlot Ln,","","","3","https://www.zillow.com/oakley-ca/3_p/","","","null","3","null","$430,538","$430,538","Single Family","1995","No Data","No Data","2 spaces","6,280 sqft","null","5","4","5","null","No","null","null","$3,343"
"1572903965-738","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/1428-Big-Redwood-Dr-Oakley-CA-94561/95408822_zpid/","Oakley, CA 94561","Pre-foreclosure / auction","1428 Big Redwood Dr,","","","","","4","https://www.zillow.com/oakley-ca/4_p/","null","4","null","$501,781","$501,781","Single Family","2013","No Data","Central","2 spaces","5,662 sqft","null","3","4","5","null","No","null","null","$8,272"
"1572907225-1164","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/749-Westmoor-Cir-Oakley-CA-94561/166388597_zpid/","null","null","null","","","3","https://www.zillow.com/oakley-ca/3_p/","","","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1572907557-1241","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/207-Dennis-Ct-Oakley-CA-94561/18295091_zpid/","Oakley, CA 94561","For sale","207 Dennis Ct,","","","3","https://www.zillow.com/oakley-ca/3_p/","","","2,108","3","3","$537,001","$537,000","Single Family","1991","Forced air","Central","3 spaces","6,834 sqft","null","5","3","5","Ceiling Fan(s), Central 1 Zone A/C","Stucco","1991","null","$4,631"
"1572907952-1371","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/1612-Sycamore-Dr-Oakley-CA-94561/72555300_zpid/","Oakley, CA 94561","For sale","1612 Sycamore Dr,","2","https://www.zillow.com/oakley-ca/2_p/","","","","","2,532","4","3","$515,066","$515,000","Single Family","2006","Forced air","Central","2 spaces","7,927 sqft","null","3","4","5","null","Stucco","Tile","null","$8,729"
"1572908017-1393","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/2870-Vine-Hill-Rd-Oakley-CA-94561/18294773_zpid/","Oakley, CA 94561","Pre-foreclosure","2870 Vine Hill Rd,","2","https://www.zillow.com/oakley-ca/2_p/","","","","","null","4","null","$452,951","$452,951","Single Family","1979","Forced air","Central, Other","3 spaces","1.05 acres","null","5","3","5","null","Other","null","null","$9,631"
"1572904273-841","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/1877-E-Summerfield-Ct-Oakley-CA-94561/18294382_zpid/","Oakley, CA 94561","Pre-foreclosure","1877 E Summerfield Ct,","","","","","4","https://www.zillow.com/oakley-ca/4_p/","null","4","null","$453,803","$453,803","Single Family","1993","No Data","No Data","2 spaces","6,098 sqft","null","5","4","5","null","No","null","null","$4,923"
"1572905152-1139","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/1861-Sauterne-Way-Oakley-CA-94561/18290642_zpid/","Oakley, CA 94561","Pre-foreclosure","1861 Sauterne Way,","","","3","https://www.zillow.com/oakley-ca/3_p/","","","null","3","null","$399,606","$399,606","Single Family","1980","Other","Central","2 spaces","8,364 sqft","null","1","3","5","null","Composition","null","null","$3,908"
"1572908397-1482","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/homedetails/60-Snowy-Egret-Ct-Oakley-CA-94561/72549070_zpid/","Oakley, CA 94561","For sale","60 Snowy Egret Ct,","2","https://www.zillow.com/oakley-ca/2_p/","","","","","2,570","4","3","$520,005","$519,450","Single Family","2006","Forced air","Central","2 spaces","6,477 sqft","$3,139/mo","3","4","5","Central","Tile","null","null","$9,479"
"1572908790-1611","https://www.zillow.com/homes/oakley-CA_rb/","","https://www.zillow.com/community/duarte-ranch/2088802228_zpid/","Oakley, CA 94561","New construction","Buildable plan: Douro, Duarte Ranch,","","","","","","","2,753","4","3","None","$615,000","Single Family","2019","No Data","No Data","Single Family","No Data","null","4","3","5","{""targetDiv"":""gpt-ad-f5d4b748-7ffb-4f75-a8f8-16d7725829eb"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" O000UE"",""aamgnrc1"":""735 Ruby Hill Ln"",""bd"":""4"",""fsbid"":""14920"",""city"":""Oakley"",""proptp"":""sfh"",""pid"":""2088802228"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""2500-2999"",""price"":""615000"",""sqft"":""2753"",""posting_url"":""http://www.discoveryhomes.com/oakley-ca/duarte-ranch?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=37123&nhf_listing_type=community&utm_term=comm_DuarteRanch&utm_campaign=Oakley%2FCA"",""state"":""CA"",""mlong"":""-121.704373"",""cnty"":""Alameda"",""prange"":""600-699k"",""zip"":""94561"",""mlat"":""37.981019"",""plid"":""10966368"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISivj3yptnnca00000000000.jpg"",""zusr"":""true"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""14920-786201"",""dma"":""37""}}","Yes","null","null","null"
