web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572908477-1511","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/homedetails/7403-Oxford-Cir-Dublin-CA-94568/25071577_zpid/","Dublin, CA 94568","For sale","7403 Oxford Cir,","","","","","","","1,110","2","3","$619,962","$629,500","Townhouse","1990","Forced air","Central","2 spaces","No Data","$2,850/mo","7","6","10","null","Tile","null","null","$7,690"
"1572903655-659","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/community/bluffs-at-tassajara-hills/2092517083_zpid/","Dublin, CA 94568","New construction","Lot #0017, The Bluffs at Tassajara Hills,","","","","","4","https://www.zillow.com/dublin-ca/4_p/","4,235","4","5","None","$1,728,995","Single Family","2019","No Data","No Data","Single Family","No Data","null","10","9","10","{""targetDiv"":""gpt-ad-d40b7b03-e02b-4c76-8053-1be5692d730d"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" X4MI5K"",""aamgnrc1"":""7383 Colton Hills Dr"",""bd"":""4"",""fsbid"":""830"",""city"":""Dublin"",""proptp"":""sfh"",""pid"":""2082578490"",""zestibuck"":""1_5-1_999m"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""4000-4499"",""price"":""1728995"",""sqft"":""4235"",""posting_url"":""https://www.tollbrothers.com/luxury-homes-for-sale/California/The-Bluffs-at-Tassajara-Hills/Castleberry"",""state"":""CA"",""mlong"":""-121.86763"",""cnty"":""Alameda"",""prange"":""1_5-1_999m"",""zip"":""94568"",""mlat"":""37.736712"",""plid"":""39793"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvkrvshi3xhlg0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1713977"",""premieragent"":""no"",""builderChatId"":""830-808782"",""dma"":""37""}}","Yes","null","null","null"
"1572908222-1462","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/homedetails/4362-Jordan-Ranch-Dr-Dublin-CA-94568/119591213_zpid/","Dublin, CA 94568","For sale","4362 Jordan Ranch Dr,","","","","","","","3,170","5","5","$1,411,314","$1,398,000","Single Family","2013","Forced air","Central","3 spaces","8,036 sqft","$4,500/mo","NA","10","null","Central AC","Composition","null","Public Utilities","$15,272"
"1572907190-1159","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/homedetails/5501-De-Marcus-Blvd-APT-263-Dublin-CA-94568/79540564_zpid/","null","null","null","2","https://www.zillow.com/dublin-ca/2_p/","","","","","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"1572904085-767","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/homedetails/3941-Eminence-St-Dublin-CA-94568/2083399206_zpid/","Dublin, CA 94568","New construction","3941 Eminence St,","","","","","4","https://www.zillow.com/dublin-ca/4_p/","2,215","3","3","$993,619","$993,613","Townhouse","2019","Forced air","Central","Townhouse","No Data","null","9","9","10","Forced air","Composition","null","null","null"
"1572908832-1624","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/community/boulevard-downing/2083235820_zpid/","Dublin, CA 94568","New construction","Buildable plan: Residence Two, Boulevard   Downing,","","","","","","","1,899","3","2","$839,313","$840,880","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","7","6","10","{""targetDiv"":""gpt-ad-1ebb1804-7f19-4242-ada2-5d8216fdc1c1"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" UIE3XJ"",""aamgnrc1"":""5750 Greige Cir"",""bd"":""3"",""fsbid"":""11527"",""city"":""Dublin"",""proptp"":""twn"",""pid"":""2083235820"",""zestibuck"":""800-899k"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""1500-1999"",""price"":""840880"",""sqft"":""1899"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/dublin/boulevard/downing?utm_source=zillowtrulia&utm_medium=listing&utm_campaign=bahlen_listing_zillowtrulia_boulevard-downing"",""state"":""CA"",""mlong"":""-121.895"",""cnty"":""Alameda"",""prange"":""800-899k"",""zip"":""94568"",""mlat"":""37.7102"",""plid"":""28734720"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISrxqwts8sk9s80000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""2010-2019"",""zestimate"":""839313"",""premieragent"":""no"",""builderChatId"":""11527-823972"",""dma"":""37""}}","Yes","null","null","null"
"1572905033-1099","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/community/onyx-at-jordan-ranch/2094437504_zpid/","Dublin, CA 94568","New construction","Buildable plan: Residence 3, Onyx at Jordan Ranch,","2","https://www.zillow.com/dublin-ca/2_p/","","","","","2,062","4","3.5","None","$996,900","Single Family","2019","No Data","No Data","Single Family","No Data","null","NA","10","null","{""targetDiv"":""gpt-ad-03a8aa8f-024f-45a0-8108-449064bac6a0"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 2734GK"",""aamgnrc1"":""2070 Confidence Way"",""bd"":""4"",""fsbid"":""13809"",""city"":""Dublin"",""proptp"":""sfh"",""pid"":""2094437504"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""2000-2499"",""price"":""996900"",""sqft"":""2062"",""posting_url"":""https://www.tripointehomes.com/northern-california/onyx-jordan-ranch/residence-3-25214/?utm_medium=referral&utm_source=zillow-feed&nhf_channel=6&nhf_listing_id=417800&nhf_listing_type=plan&utm_term=plan_Residence3&utm_campaign=tripointe-zillow-feed"",""state"":""CA"",""mlong"":""-121.843907"",""cnty"":""Alameda"",""prange"":""900-999k"",""zip"":""94568"",""mlat"":""37.711548"",""plid"":""31996"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISaly5zviluwko1000000000.jpg"",""zusr"":""true"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""13809-785743"",""dma"":""37""}}","Yes","null","null","null"
"1572904554-938","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/homedetails/5919-Sterling-St-Dublin-CA-94568/2086329388_zpid/","Dublin, CA 94568","New construction","5919 Sterling St,","","","3","https://www.zillow.com/dublin-ca/3_p/","","","2,818","5","4","$1,128,320","$1,145,880","Single Family","2019","Forced air","Central","Attached Garage","2,413 sqft","$3,800/mo","7","6","10","null","Tile","null","null","null"
"1572903868-712","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/homedetails/5778-Juniper-Way-Dublin-CA-94568/2082562615_zpid/","Dublin, CA 94568","New construction","5778 Juniper Way,","","","","","4","https://www.zillow.com/dublin-ca/4_p/","2,836","5","4","$1,269,907","$1,269,880","Single Family","No Data","No Data","No Data","Single Family","No Data","null","7","6","10","{""targetDiv"":""gpt-ad-321c9768-cde9-41c5-a72a-21cb353a1884"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""5778 Juniper Way"",""bd"":""5"",""fsbid"":""11527"",""city"":""Dublin"",""proptp"":""sfh"",""pid"":""2082562615"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""2500-2999"",""price"":""1269880"",""sqft"":""2836"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/dublin/boulevard/lincoln?utm_source=zillowtrulia&utm_medium=listing&utm_campaign=bahlen_listing_zillowtrulia_boulevard-lincoln"",""state"":""CA"",""mlong"":""-121.901"",""cnty"":""Marin"",""prange"":""1-1_499m"",""zip"":""94568"",""mlat"":""37.7083"",""plid"":""15395995"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7yhml1mb71q80000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""zestimate"":""1269907"",""premieragent"":""no"",""builderChatId"":""11527-815773"",""dma"":""37""}}","Yes","null","null","null"
"1572907990-1385","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/community/huntington-at-boulevard/2091954079_zpid/","Dublin, CA 94568","New construction","Buildable plan: Residence 2, Huntington at Boulevard,","","","","","","","2,541","4","4","$1,089,995","$1,089,990","Single Family","2019","No Data","No Data","Single Family","No Data","null","7","6","10","{""targetDiv"":""gpt-ad-0b49abae-b27e-4c57-852c-6a48ed31eeea"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 5F469M"",""aamgnrc1"":""5793 El Dorado Ln"",""bd"":""4"",""fsbid"":""14748"",""city"":""Dublin"",""proptp"":""sfh"",""pid"":""2091954079"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""2500-2999"",""price"":""1089990"",""sqft"":""2541"",""posting_url"":""https://www.brookfieldresidential.com/new-homes/california/east-bay/dublin/boulevard/huntington?utm_source=GJ_NewHomeFeed_Huntinton_Boulevard&utm_medium=listing&utm_campaign=brookfieldnorcal_huntington"",""state"":""CA"",""mlong"":""-121.900349"",""cnty"":""Sonoma"",""prange"":""1-1_499m"",""zip"":""94568"",""mlat"":""37.707405"",""plid"":""39265"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISqp4il4plaepf0000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1089995"",""premieragent"":""no"",""builderChatId"":""14748-775849"",""dma"":""37""}}","Yes","null","null","null"
"1572904521-923","https://www.zillow.com/homes/Dublin-CA_rb/","","https://www.zillow.com/homedetails/5832-Noba-Rd-Dublin-CA-94568/2083288699_zpid/","Dublin, CA 94568","New construction","5832 Noba Rd,","","","3","https://www.zillow.com/dublin-ca/3_p/","","","2,424","3","4","$1,091,790","$1,093,118","Single Family","2019","No Data","No Data","Single Family","No Data","null","7","6","10","{""targetDiv"":""gpt-ad-86f99b4c-b4a6-4c64-a4ba-529e3512fd02"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""5832 Noba Rd"",""bd"":""3"",""fsbid"":""14748"",""city"":""Dublin"",""proptp"":""sfh"",""pid"":""2083288699"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""2000-2499"",""price"":""1093118"",""sqft"":""2424"",""posting_url"":""https://www.brookfieldresidential.com/new-homes/california/east-bay/dublin/boulevard/huntington?utm_source=GJ_NewHomeFeed_Huntinton_Boulevard&utm_medium=listing&utm_campaign=brookfieldnorcal_huntington"",""state"":""CA"",""mlong"":""-121.901083"",""cnty"":""Marin"",""prange"":""1-1_499m"",""zip"":""94568"",""mlat"":""37.707788"",""plid"":""39265"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISv0k8a724oa1i1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1091790"",""premieragent"":""no"",""builderChatId"":""14748-775849"",""dma"":""37""}}","Yes","null","null","null"
