web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572919876-2031","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/838-Capuchino-Dr-Millbrae-CA-94030/15500323_zpid/","Millbrae, CA 94030","For sale","838 Capuchino Dr,","2,440","4","4","$2,163,217","$2,180,000","Single Family","1973","Forced air","Central","4 spaces","6,098 sqft","$5,280/mo","9","7","9","null","Stucco, Cement Siding","Double Pane Windows","null","$13,185"
"1572919900-2036","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/55-Arroyo-Seco-Millbrae-CA-94030/15508609_zpid/","Millbrae, CA 94030","For sale","55 Arroyo Seco,","3,510","4","5","null","$2,680,000","Single Family","1989","Forced air","None","4 spaces","0.38 acres","$7,500/mo","7","7","9","None","Tile","null","Public Utilities","$26,351"
"1572919996-2069","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/526-Anita-Ln-Millbrae-CA-94030/15501937_zpid/","Millbrae, CA 94030","For sale","526 Anita Ln,","2,030","6","6","$2,122,580","$2,100,000","Single Family","1949","Forced air","Central","2 spaces","5,667 sqft","$5,351/mo","9","7","9","Central AC","Composition","null","Public Utilities","$16,362"
"1572920139-2106","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/223-Cuardo-Ave-Millbrae-CA-94030/15509901_zpid/","Millbrae, CA 94030","For sale","223 Cuardo Ave,","1,170","3","1","$1,274,968","$1,249,950","Single Family","1945","Forced air","None","Attached Garage","5,301 sqft","$4,100/mo","7","7","9","null","Composition","null","Public Utilities, Individual Gas Meters","$1,557"
"1572919758-2004","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/380-Vallejo-Dr-APT-126-Millbrae-CA-94030/15621098_zpid/","Millbrae, CA 94030","For sale","380 Vallejo Dr APT 126,","1,150","2","2","$826,493","$825,000","Condo","1973","Baseboard","None","Attached Garage","$540/month","$3,500/mo","7","7","9","null","No","null","Individual Electric Meters, Individual Gas Meters","$3,422"
"1572920257-2137","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/15-Christine-Ln-Millbrae-CA-94030/15502007_zpid/","Millbrae, CA 94030","For sale","15 Christine Ln,","1,290","3","1","$1,425,528","$1,349,000","Single Family","1948","Forced air","None","Attached Garage","5,183 sqft","$4,200/mo","9","7","9","null","Composition","null","Individual Electric Meters, Individual Gas Meters","$1,321"
"1572919736-1997","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/19-Claremont-Ct-Millbrae-CA-94030/15501182_zpid/","Millbrae, CA 94030","Pre-foreclosure / auction","19 Claremont Ct,","null","4","null","$1,282,290","$1,282,290","Single Family","1964","Other","No Data","Attached Garage","10,497 sqft","null","7","7","9","null","No","null","null","$6,596"
"1572920096-2095","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/716-Hacienda-Way-Millbrae-CA-94030/15500334_zpid/","Millbrae, CA 94030","For sale","716 Hacienda Way,","2,290","4","3","$2,119,905","$1,988,000","Single Family","1948","Forced air","None","3 spaces","0.29 acres","$5,097/mo","9","7","9","None","Metal","null","Public Utilities, Solar Panels - Owned","$18,183"
"1572920076-2091","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/1180-Landing-Ln-Millbrae-CA-94030/15501643_zpid/","Millbrae, CA 94030","For sale","1180 Landing Ln,","1,360","4","2","$1,199,999","$1,088,000","Single Family","1953","No Data","None","Attached Garage","4,996 sqft","$4,150/mo","5","7","9","null","Composition","null","Other","$1,310"
"1572920035-2079","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/1355-Hillcrest-Blvd-Millbrae-CA-94030/15508801_zpid/","Millbrae, CA 94030","For sale","1355 Hillcrest Blvd,","1,600","3","2","$1,885,343","$1,799,000","Single Family","1941","Forced air","None","Attached Garage","7,422 sqft","$4,800/mo","7","7","9","null","Composition","null","Public Utilities","$19,149"
"1572919771-2006","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/11-Jasmine-Ct-Millbrae-CA-94030/15502695_zpid/","Millbrae, CA 94030","For sale","11 Jasmine Ct,","2,380","4","3","$2,065,828","$2,080,000","Single Family","1977","Forced air","None","2 spaces","5,614 sqft","$5,476/mo","9","7","9","null","Metal","null","null","$19,449"
"1572919969-2060","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/112-Palm-Ave-Millbrae-CA-94030/15510408_zpid/","Millbrae, CA 94030","Pre-foreclosure","112 Palm Ave,","null","2","null","$1,119,940","$1,119,940","Single Family","1927","No Data","No Data","Attached Garage","5,749 sqft","null","7","7","9","null","No","null","null","$7,582"
"1572920116-2098","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/151-El-Camino-Real-UNIT-327-Millbrae-CA-94030/118174606_zpid/","Millbrae, CA 94030","For sale","151 El Camino Real UNIT 327,","1,196","2","2","$1,069,999","$998,000","Condo","2010","Forced air","Central","Carport","$379/month","$3,650/mo","7","7","9","Central 1 Zone A/C","Stucco","2010","null","$11,344"
"1572920156-2109","https://www.zillow.com/homes/millbrae-CA_rb/","","https://www.zillow.com/homedetails/610-Hillcrest-Blvd-Millbrae-CA-94030/15509498_zpid/","Millbrae, CA 94030","For sale","610 Hillcrest Blvd,","2,433","4","5","$1,951,789","$1,888,888","Single Family","1935","Forced air","None","2 spaces","5,662 sqft","$4,600/mo","7","7","9","None","Tile","null","Public Utilities","$3,421"
