web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572904769-1007","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/homedetails/635-Singley-Dr-Milpitas-CA-95035/19475555_zpid/","Milpitas, CA 95035","Pre-foreclosure","635 Singley Dr,","2","https://www.zillow.com/milpitas-ca/2_p/","","","","","null","3","null","$946,498","$946,498","Single Family","1972","Other","No Data","2 spaces","5,775 sqft","null","9","9","9","null","Composition","null","null","$4,426"
"1572904135-786","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/community/somont/2088296362_zpid/","Milpitas, CA 95035","New construction","Buildable plan: Residence 7, SoMont,","","","3","https://www.zillow.com/milpitas-ca/3_p/","","","1,489","3","2","None","$995,880","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","7","9","9","{""targetDiv"":""gpt-ad-a66cf1c2-c51e-4daf-a497-523cc6be8e8b"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" OIXGC5"",""aamgnrc1"":""1630 Delano St"",""bd"":""3"",""fsbid"":""11527"",""city"":""Milpitas"",""proptp"":""twn"",""pid"":""2088296362"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""1000-1499"",""price"":""995880"",""sqft"":""1489"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/milpitas/somont?utm_medium=listing&utm_source=zillowtrulia&nhf_channel=6&nhf_listing_id=49317&nhf_listing_type=community&utm_term=comm_SoMont&utm_campaign=bahlen_listing_zillowtrulia_somont"",""state"":""CA"",""mlong"":""-121.921"",""cnty"":""Santa_Clara"",""prange"":""900-999k"",""zip"":""95035"",""mlat"":""37.452"",""plid"":""31573"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISibkqorvxtqrg0000000000.jpg"",""zusr"":""true"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""11527-815754"",""dma"":""37""}}","Yes","null","null","null"
"1572904311-856","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/community/somont/2088296356_zpid/","Milpitas, CA 95035","New construction","Buildable plan: Residence 5, SoMont,","","","3","https://www.zillow.com/milpitas-ca/3_p/","","","1,458","3","2.5","None","$973,880","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","7","9","9","{""targetDiv"":""gpt-ad-4a9ec1e7-8932-4c2c-a553-c4e0701db33e"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" OHTV5D"",""aamgnrc1"":""1630 Delano St"",""bd"":""3"",""fsbid"":""11527"",""city"":""Milpitas"",""proptp"":""twn"",""pid"":""2088296356"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""1000-1499"",""price"":""973880"",""sqft"":""1458"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/milpitas/somont?utm_medium=listing&utm_source=zillowtrulia&nhf_channel=6&nhf_listing_id=49317&nhf_listing_type=community&utm_term=comm_SoMont&utm_campaign=bahlen_listing_zillowtrulia_somont"",""state"":""CA"",""mlong"":""-121.921"",""cnty"":""Alameda"",""prange"":""900-999k"",""zip"":""95035"",""mlat"":""37.452"",""plid"":""31573"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS2b1n3xh46b0n1000000000.jpg"",""zusr"":""true"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""11527-815754"",""dma"":""37""}}","Yes","null","null","null"
"1572908233-1467","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/community/prynt-in-milpitas/2082501395_zpid/","Milpitas, CA 95035","New construction","Buildable plan: Residence 11 Prynt, Prynt in Milpitas,","","","","","","","2,046","2","4","$1,099,785","$1,102,000","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","7","8","9","{""targetDiv"":""gpt-ad-281ad8be-5199-4d45-9004-83dcd9563b75"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" IRO1KF"",""aamgnrc1"":""Open By Appointment Only"",""bd"":""2"",""fsbid"":""12949"",""city"":""Milpitas"",""proptp"":""twn"",""pid"":""2082501395"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""2000-2499"",""price"":""1102000"",""sqft"":""2046"",""posting_url"":""https://www.taylormorrison.com/ca/bay-area/milpitas/prynt?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=39581&nhf_listing_type=community&utm_term=comm_PryntinMilpitas&utm_campaign=Milpitas%2FCA"",""state"":""CA"",""mlong"":""-121.899646"",""cnty"":""Sonoma"",""prange"":""1-1_499m"",""zip"":""95035"",""mlat"":""37.431389"",""plid"":""39772"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvkfengga6sj01000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1099785"",""premieragent"":""no"",""builderChatId"":""12949-812707"",""dma"":""37""}}","Yes","null","null","null"
"1572907676-1281","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/community/somont/2088296354_zpid/","Milpitas, CA 95035","New construction","Buildable plan: Residence 13, SoMont,","","","","","","","2,081","4","4","None","$1,163,880","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","7","9","9","{""targetDiv"":""gpt-ad-0baf150a-53d8-4d54-91fa-c70bd49bfa65"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" NU1VYR"",""aamgnrc1"":""1630 Delano St"",""bd"":""4"",""fsbid"":""11527"",""city"":""Milpitas"",""proptp"":""twn"",""pid"":""2088296354"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""2000-2499"",""price"":""1163880"",""sqft"":""2081"",""posting_url"":""http://www.lennar.com/new-homes/california/san-francisco-bay-area/milpitas/somont?utm_medium=listing&utm_source=zillowtrulia&nhf_channel=6&nhf_listing_id=49317&nhf_listing_type=community&utm_term=comm_SoMont&utm_campaign=bahlen_listing_zillowtrulia_somont"",""state"":""CA"",""mlong"":""-121.921"",""cnty"":""Santa_Clara"",""prange"":""1-1_499m"",""zip"":""95035"",""mlat"":""37.452"",""plid"":""31573"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISy78far5fcwqg0000000000.jpg"",""zusr"":""true"",""yrblt"":""2010-2019"",""premieragent"":""no"",""builderChatId"":""11527-815754"",""dma"":""37""}}","Yes","null","null","null"
"1572904531-929","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/homedetails/202-Houret-Dr-Milpitas-CA-95035/2082431531_zpid/","Milpitas, CA 95035","New construction","202 Houret Dr,","2","https://www.zillow.com/milpitas-ca/2_p/","","","","","2,219","3","4","$1,248,880","$1,248,880","Townhouse","2019","Forced air","Central","Townhouse","No Data","null","7","8","9","Kitchen Island, Stone Counters","Stucco, Wall Insulation","Tile","Natural Gas Connected, All Electric","null"
"1572904802-1019","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/homedetails/518-Belshaw-Dr-Milpitas-CA-95035/82949759_zpid/","Milpitas, CA 95035","For sale","518 Belshaw Dr,","2","https://www.zillow.com/milpitas-ca/2_p/","","","","","1,504","3","4","$1,113,997","$1,095,000","Townhouse","2009","Other","Central","1 space","993 sqft","$3,595/mo","8","9","9","Living Room","No","null","null","$7,963"
"1572907838-1337","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/community/parkside-at-tarob-court/2084371580_zpid/","Milpitas, CA 95035","New construction","Buildable plan: A1, Parkside at Tarob Court,","","","","","","","1,454","3","3","$978,839","$1,004,995","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","9","7","7","{""targetDiv"":""gpt-ad-6874a96e-50d2-4b4c-84e0-28bcd1ffec46"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 3DDERR"",""aamgnrc1"":""523 Lundy Pl"",""bd"":""3"",""fsbid"":""830"",""city"":""Milpitas"",""proptp"":""twn"",""pid"":""2084371580"",""zestibuck"":""900-999k"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""1000-1499"",""price"":""1004995"",""sqft"":""1454"",""posting_url"":""https://www.tollbrothers.com/luxury-homes-for-sale/California/Parkside-at-Tarob-Court/A1?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=451956&nhf_listing_type=plan&utm_term=plan_A1&utm_campaign=Milpitas%2FCA"",""state"":""CA"",""mlong"":""-121.890878"",""cnty"":""Marin"",""prange"":""1-1_499m"",""zip"":""95035"",""mlat"":""37.40495"",""plid"":""14373312"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISifrm9kpprlx80000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""2010-2019"",""zestimate"":""978839"",""premieragent"":""no"",""builderChatId"":""830-808774"",""dma"":""37""}}","Yes","null","null","null"
"1572904484-915","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/community/flats-at-metro/2087245503_zpid/","Milpitas, CA 95035","New construction","750 Garden Street U # 41,","2","https://www.zillow.com/milpitas-ca/2_p/","","","","","1,206","1","2","None","$749,900","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","7","8","9","{""targetDiv"":""gpt-ad-a0ee8e95-a035-4f24-8b44-2ba5df4d912e"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" CO7ONQ"",""aamgnrc1"":""760 Garden St"",""bd"":""1"",""fsbid"":""11274"",""city"":""Milpitas"",""proptp"":""twn"",""pid"":""2087823737"",""zestibuck"":""700-799k"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""1000-1499"",""price"":""749900"",""sqft"":""1206"",""posting_url"":""https://www.pulte.com/homes/california/bay-area/milpitas/flats-at-metro-209914?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=43276&nhf_listing_type=community&utm_term=comm_FlatsatMetro&utm_campaign=Milpitas%2FCA"",""state"":""CA"",""mlong"":""-121.88998"",""cnty"":""Sonoma"",""prange"":""700-799k"",""zip"":""95035"",""mlat"":""37.413764"",""plid"":""12439729"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISek0iq8r6jfcr1000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""2010-2019"",""zestimate"":""749904"",""premieragent"":""no"",""builderChatId"":""11274-819418"",""dma"":""37""}}","Yes","null","null","null"
"1572907271-1175","https://www.zillow.com/homes/milpitas-CA_rb/","","https://www.zillow.com/community/parkside-at-tarob-court/2084371581_zpid/","Milpitas, CA 95035","New construction","Buildable plan: A2, Parkside at Tarob Court,","","","","","","","1,727","3","3","$1,064,907","$1,093,995","Townhouse","2019","No Data","No Data","Townhouse","No Data","null","9","7","7","{""targetDiv"":""gpt-ad-e22b71de-ad7a-400e-a392-161d871aa2db"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" BB0VGB"",""aamgnrc1"":""523 Lundy Pl"",""bd"":""3"",""fsbid"":""830"",""city"":""Milpitas"",""proptp"":""twn"",""pid"":""2084371581"",""zestibuck"":""1-1_499m"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""1500-1999"",""price"":""1093995"",""sqft"":""1727"",""posting_url"":""https://www.tollbrothers.com/luxury-homes-for-sale/California/Parkside-at-Tarob-Court/A2?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=451957&nhf_listing_type=plan&utm_term=plan_A2&utm_campaign=Milpitas%2FCA"",""state"":""CA"",""mlong"":""-121.890878"",""cnty"":""Sonoma"",""prange"":""1-1_499m"",""zip"":""95035"",""mlat"":""37.40495"",""plid"":""14373312"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS23ny87h9brx80000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""2010-2019"",""zestimate"":""1064907"",""premieragent"":""no"",""builderChatId"":""830-808774"",""dma"":""37""}}","Yes","null","null","null"
