web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount,next_page6,next_page6-href,next_page7,next_page7-href,next_page8,next_page8-href
"1572898184-399","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/150-Pestana-95-95-Manteca-CA/2082147515_zpid/","Manteca, CA --","For sale","150 Pestana 95 # 95,","","","","","","","5","https://www.zillow.com/homes/for_sale/5_p/","1,140","2","2","None","$129,999","Mobile / Manufactured","2005","No Data","No Data","No Data","$114","null","4","5","null","null","No","null","null","null","NEXT","https://www.zillow.com/homes/for_sale/6_p/","NEXT","https://www.zillow.com/homes/for_sale/7_p/","",""
"1572899641-522","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/1-San-Martinez-Rd-Val-Verde-CA-91384/2085871340_zpid/","Val Verde, CA 91384","Lot/land","1 San Martinez Rd,","","","3","https://www.zillow.com/homes/for_sale/3_p/","","","","","null","2,779 sqft","null","None","$3,500","null","null","null","null","null","null","$1,650/mo","7","6","9","null","Standard","VVER - Val Verde","null","null","","","","","",""
"1572900019-557","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/0-Trellis-Rd-Val-Verde-CA-91384/2095425139_zpid/","Val Verde, CA 91384","Lot/land","0 Trellis Rd,","","","3","https://www.zillow.com/homes/for_sale/3_p/","","","","","null","9,174 sqft","null","None","$50,000","null","null","null","null","null","null","$1,675/mo","5","6","9","null","Los Angeles","Property Report","null","null","","","","","",""
"1572900660-597","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/87-Santa-Cruz-Ave-San-Francisco-CA-94112/15196270_zpid/","San Francisco, CA 94112","For sale","87 Santa Cruz Ave,","","","","","","","","","null","3","null","null","$899,000","Single Family","1950","Forced air","Central","Attached Garage","2,387 sqft","$3,600/mo","4","7","4","null","No","null","null","$1,337","","","","","",""
"1572897872-366","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/community/wood-ranch/2082449949_zpid/","Visalia, CA 93292","New construction","Buildable plan: Winslow, Wood Ranch,","","","","","","","5","https://www.zillow.com/homes/for_sale/5_p/","2,810","5","3","$312,406","$317,400","Single Family","2019","No Data","No Data","Single Family","No Data","null","4","4","6","{""targetDiv"":""gpt-ad-decba6b8-ed09-4879-8a46-d3e1d1417893"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" JCF666"",""aamgnrc1"":""Selling From: 3709 E. Cypress Ave"",""bd"":""5"",""fsbid"":""12653"",""city"":""Visalia"",""proptp"":""sfh"",""pid"":""2082449949"",""zestibuck"":""300-349k"",""listtp"":""buy_builder_community"",""zguidh"":""-686962791707332164"",""sqftrange"":""2500-2999"",""price"":""317400"",""sqft"":""2810"",""posting_url"":""http://www.drhorton.com/california/central-valley/visalia/wood-ranch/floor-plans/w428.aspx?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=555554&nhf_listing_type=plan&utm_term=plan_Winslow&utm_campaign=VISALIA%2FCA"",""state"":""CA"",""mlong"":""-119.2513"",""cnty"":""Tulare"",""prange"":""300-349k"",""zip"":""93292"",""mlat"":""36.32239"",""plid"":""24554332"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISn678j93rpddx0000000000.jpg"",""zusr"":""true"",""price_band"":""z300"",""yrblt"":""2010-2019"",""zestimate"":""312406"",""premieragent"":""no"",""builderChatId"":""12653-816311"",""dma"":""30""}}","Yes","null","null","null","NEXT","https://www.zillow.com/homes/for_sale/6_p/","NEXT","https://www.zillow.com/homes/for_sale/7_p/","NEXT","https://www.zillow.com/homes/for_sale/8_p/"
"1572901017-631","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/1981-Orme-Ln-Manteca-CA-95336/15349770_zpid/","Manteca, CA 95336","For sale","1981 Orme Ln,","","","","","","","","","1,480","3","2","null","$389,500","Single Family","1994","Forced air","Central","3 spaces","7,592 sqft","$1,850/mo","7","6","null","Dining Bar, Formal Area","Frame, Stucco","Tile","All Public","$3,515","","","","","",""
"1572898900-463","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/329-Hilborn-St-Lodi-CA-95240/15268500_zpid/","Lodi, CA 95240","For sale","329 Hilborn St,","","","","","","","5","https://www.zillow.com/homes/for_sale/5_p/","null","--","null","$267,394","$265,000","Multi Family","1919","Wall","No Data","Off street, Detached Garage","No Data","$995/mo","4","4","5","null","Frame, Stucco, Wood, Ceiling Insulation","null","null","$626","","","","","",""
"1572899446-497","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/Driver-Ave-Alpine-Walk-Val-Verde-CA-91384/2091651316_zpid/","Val Verde, CA 91384","Lot/land","Driver Ave & Alpine Walk,","","","","","4","https://www.zillow.com/homes/for_sale/4_p/","","","null","5,662 sqft","null","null","$15,000","null","null","null","null","null","null","$1,650/mo","7","6","9","null","/UnknownSee all","null","null","null","","","","","",""
"1572897704-347","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/8427-Rothesay-Pl-Stockton-CA-95209/15279256_zpid/","Stockton, CA 95209","For sale","8427 Rothesay Pl,","","","","","","","5","https://www.zillow.com/homes/for_sale/5_p/","1,196","3","2","$289,537","$295,000","Single Family","1972","Forced air","Central","Attached Garage","6,398 sqft","$1,600/mo","4","5","7","Closet","Stucco, Brick, Wood","Composition","All Public","$1,903","NEXT","https://www.zillow.com/homes/for_sale/6_p/","NEXT","https://www.zillow.com/homes/for_sale/7_p/","NEXT","https://www.zillow.com/homes/for_sale/8_p/"
"1572897606-334","https://www.zillow.com/homes/for_sale/?searchQueryState={%22pagination%22:{},%22usersSearchTerm%22:%22san%20francisco%20bay%20area%22,%22mapBounds%22:{%22west%22:-125.95602929687499,%22east%22:-118.77097070312499,%22south%22:36.285872300035585,%22north%22:39.1274705976644},%22isMapVisible%22:true,%22mapZoom%22:7,%22filterState%22:{},%22isListVisible%22:true}","","https://www.zillow.com/homedetails/1008-Foster-Square-Ln-UNIT-204-Foster-City-CA-94404/295378955_zpid/","Foster City, CA 94404","For sale by owner","1008 Foster Square Ln UNIT 204,","","","","","","","5","https://www.zillow.com/homes/for_sale/5_p/","1,363","2","2","$1,187,279","$1,175,000","Condo","2017","Forced air","Central","2 spaces","$515/month","$4,000/mo","9","9","7","Central","No","null","null","$11,957","NEXT","https://www.zillow.com/homes/for_sale/6_p/","NEXT","https://www.zillow.com/homes/for_sale/7_p/","NEXT","https://www.zillow.com/homes/for_sale/8_p/"
