web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572896847-304","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/5816-El-Dorado-Ave-UNIT-8-El-Cerrito-CA-94530/2082458206_zpid/","El Cerrito, CA 94530","New construction","5816 El Dorado Ave UNIT 8,","","","1,347","3","3","$849,301","$830,609","Condo","2019","No Data","No Data","Condo","No Data","null","4","5","5","{""targetDiv"":""gpt-ad-4b8f7c24-2650-4013-8dba-814e7397786d"",""slot"":""zillow/property_details/buy_builder_community/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Unit 8"",""aamgnrc1"":""5816 El Dorado Ave"",""bd"":""3"",""fsbid"":""15378"",""city"":""El_Cerrito"",""proptp"":""cnd"",""pid"":""2082458206"",""zestibuck"":""800-899k"",""listtp"":""buy_builder_community"",""zguidh"":""1805368842246238228"",""sqftrange"":""1000-1499"",""price"":""830609"",""sqft"":""1347"",""posting_url"":""http://laffertycommunities.com/find-your-home/village-29/?utm_medium=newhomefeed&utm_source=zillow%2Fpaid_network&nhf_channel=6&nhf_listing_id=617263&nhf_listing_type=plan&utm_term=plan_Plan1&utm_campaign=El+Cerrito%2FCA"",""state"":""CA"",""mlong"":""-122.306832"",""cnty"":""Contra_Costa"",""prange"":""800-899k"",""zip"":""94530"",""mlat"":""37.902789"",""plid"":""23225349"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3bh7ieu4f1f11000000000.jpg"",""zusr"":""true"",""price_band"":""z800"",""yrblt"":""2010-2019"",""zestimate"":""849301"",""premieragent"":""no"",""builderChatId"":""15378-811205"",""dma"":""37""}}","null","null","null","null"
"1572896869-311","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/1715-Julian-Ct-El-Cerrito-CA-94530/18529820_zpid/","El Cerrito, CA 94530","Pre-foreclosure","1715 Julian Ct,","","","null","3","null","$903,153","$903,153","Single Family","1955","No Data","No Data","Single Family","6,175 sqft","null","7","5","5","{""targetDiv"":""gpt-ad-6956c6fe-5ff3-4a44-8aa0-a9ddc9b0d8bd"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""1715 Julian Ct"",""bd"":""3"",""city"":""El_Cerrito"",""proptp"":""sfh"",""pid"":""18529820"",""lot"":""2"",""zestibuck"":""900-999k"",""listtp"":""buy_foreclosure"",""zguidh"":""442016460269490734"",""sqftrange"":""1500-1999"",""price"":""931086"",""sqft"":""1625"",""posting_url"":"""",""mlong"":""-122.304906"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94530"",""mlat"":""37.927906"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""1940-1959"",""zestimate"":""931086"",""premieragent"":""no""}}","null","null","null","null"
"1572896805-295","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/7830-Shevlin-Pl-El-Cerrito-CA-94530/18529708_zpid/","El Cerrito, CA 94530","Pre-foreclosure / auction","7830 Shevlin Pl,","","","1,336","3","2","$696,034","$696,034","Single Family","1957","Forced air","Central","Single Family","4,791 sqft","null","7","5","5","{""targetDiv"":""gpt-ad-f1daaef5-49c4-447e-a70e-66d4bd4182a8"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""7830 Shevlin Pl"",""bd"":""3"",""city"":""El_Cerrito"",""proptp"":""sfh"",""pid"":""18529708"",""lot"":""1"",""zestibuck"":""700-799k"",""listtp"":""buy_foreclosure"",""zguidh"":""6182669513842196441"",""sqftrange"":""1000-1499"",""price"":""718000"",""sqft"":""1336"",""posting_url"":"""",""mlong"":""-122.293117"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""94530"",""mlat"":""37.919574"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvoiv9pmy9ews0000000000.jpg"",""zusr"":""true"",""price_band"":""z700"",""yrblt"":""1940-1959"",""zestimate"":""717561"",""premieragent"":""no""}}","null","null","null","null"
"1572896889-318","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/722-Balra-Dr-El-Cerrito-CA-94530/18527397_zpid/","El Cerrito, CA 94530","For sale","722 Balra Dr,","","","1,596","3","2","$973,808","$798,000","Single Family","1963","Forced air","None","Single Family","5,279 sqft","$3,500/mo","9","5","5","{""targetDiv"":""gpt-ad-5ecc605f-83be-4f43-b7a1-b7bae87cfda6"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""722 Balra Dr"",""bd"":""3"",""fsbid"":""15263"",""city"":""El_Cerrito"",""proptp"":""sfh"",""pid"":""18527397"",""lot"":""1"",""zestibuck"":""900-999k"",""listtp"":""buy_agent"",""zguidh"":""-740812749489893361"",""sqftrange"":""1500-1999"",""price"":""798000"",""sqft"":""1596"",""posting_url"":""http://www.danacohen.com"",""mlong"":""-122.291979"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""94530"",""mlat"":""37.911262"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbh33hqzjv4p10000000000.jpg"",""zusr"":""true"",""price_band"":""z900"",""yrblt"":""1960-1969"",""zestimate"":""973808"",""premieragent"":""no""}}","null","null","null","null"
"1572896894-320","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/124-San-Carlos-Ave-El-Cerrito-CA-94530/18529028_zpid/","El Cerrito, CA 94530","For sale","124 San Carlos Ave,","","","1,169","2","1","$1,011,229","$799,000","Single Family","1940","Forced air","Central","Single Family","5,000 sqft","null","5","5","5","{""targetDiv"":""gpt-ad-f396ca2d-354a-436a-9da3-9552bcbe2de8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""124 San Carlos Ave"",""bd"":""2"",""fsbid"":""15263"",""city"":""El_Cerrito"",""proptp"":""sfh"",""pid"":""18529028"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""373970557151742128"",""sqftrange"":""1000-1499"",""price"":""799000"",""sqft"":""1169"",""posting_url"":""http://www.arealsweetdeal.com"",""mlong"":""-122.288737"",""state"":""CA"",""park"":""yes"",""prange"":""700-799k"",""zip"":""94530"",""mlat"":""37.899406"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf4gb39vfm5tx1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1011229"",""premieragent"":""no""}}","null","null","null","null"
"1572896877-314","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/224-Carmel-Ave-El-Cerrito-CA-94530/18529091_zpid/","El Cerrito, CA 94530","For sale","224 Carmel Ave,","","","1,325","3","2","$1,165,554","$899,000","Single Family","1939","Forced air","None","Single Family","3,698 sqft","$3,907/mo","5","5","5","{""targetDiv"":""gpt-ad-5a43bb31-4efd-41b1-9221-9dcebadfa623"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""224 Carmel Ave"",""bd"":""3"",""fsbid"":""15263"",""city"":""El_Cerrito"",""proptp"":""sfh"",""pid"":""18529091"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""2424970525700222526"",""sqftrange"":""1000-1499"",""price"":""899000"",""sqft"":""1325"",""posting_url"":""http://www.dianamendler.com"",""mlong"":""-122.290112"",""state"":""CA"",""park"":""yes"",""prange"":""800-899k"",""zip"":""94530"",""mlat"":""37.901651"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS3j7pj2lgx69r1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1920-1939"",""zestimate"":""1165554"",""premieragent"":""no""}}","null","null","null","null"
"1572896886-317","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/11-Wildwood-Pl-El-Cerrito-CA-94530/18530861_zpid/","El Cerrito, CA 94530","For sale","11 Wildwood Pl,","","","1,439","3","3","$688,868","$685,000","Townhouse","1972","Forced air","Central","Townhouse","1,611 sqft","null","7","5","5","{""targetDiv"":""gpt-ad-04c061d4-e5f6-4ef5-9807-bea0462a2fa0"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""11 Wildwood Pl"",""bd"":""3"",""fsbid"":""13273"",""city"":""El_Cerrito"",""proptp"":""twn"",""pid"":""18530861"",""lot"":""1"",""zestibuck"":""600-699k"",""listtp"":""buy_agent"",""zguidh"":""-6929728762324189086"",""sqftrange"":""1000-1499"",""price"":""685000"",""sqft"":""1439"",""posting_url"":""http://www.rebeccanemeth.com"",""mlong"":""-122.306185"",""state"":""CA"",""park"":""yes"",""prange"":""600-699k"",""zip"":""94530"",""mlat"":""37.923521"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf0loh32f7md20000000000.jpg"",""zusr"":""true"",""price_band"":""z600"",""yrblt"":""1970-1979"",""zestimate"":""688868"",""premieragent"":""no""}}","null","null","null","null"
"1572896908-325","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/1327-Norvell-St-El-Cerrito-CA-94530/18526127_zpid/","El Cerrito, CA 94530","For sale","1327 Norvell St,","","","924","2","1","$828,711","$699,000","Single Family","1944","Forced air","None","Single Family","3,698 sqft","null","7","5","5","No Data","null","null","null","null"
"1572896864-309","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/2036-Mira-Vista-Dr-El-Cerrito-CA-94530/18525052_zpid/","El Cerrito, CA 94530","For sale","2036 Mira Vista Dr,","","","1,867","3","3","$1,197,392","$949,000","Single Family","1956","Forced air","Central","Single Family","4,499 sqft","$4,074/mo","7","5","5","{""targetDiv"":""gpt-ad-1526069e-724d-4d3b-bf65-f6a29ad76b8e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2036 Mira Vista Dr"",""bd"":""3"",""fsbid"":""14224"",""city"":""El_Cerrito"",""proptp"":""sfh"",""pid"":""18525052"",""lot"":""1"",""zestibuck"":""1-1_499m"",""listtp"":""buy_agent"",""zguidh"":""6383688535689328577"",""sqftrange"":""1500-1999"",""price"":""949000"",""sqft"":""1867"",""posting_url"":""http://carlaandgeri.com"",""mlong"":""-122.312444"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k"",""zip"":""94530"",""mlat"":""37.930817"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7e2916tv5pzk1000000000.jpg"",""zusr"":""true"",""price_band"":""z1m"",""yrblt"":""1940-1959"",""zestimate"":""1197392"",""premieragent"":""no""}}","null","null","null","null"
"1572896905-324","https://www.zillow.com/homes/el-cerrito_rb/","","https://www.zillow.com/homedetails/532-Liberty-St-El-Cerrito-CA-94530/18528198_zpid/","El Cerrito, CA 94530","For sale","532 Liberty St,","","","null","--","null","None","$995,950","Multi Family","1912","No Data","No Data","Multi Family","$958","null","4","5","5","{""targetDiv"":""gpt-ad-e0067ecf-c56e-4df2-965f-337f099827f1"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""zip"":""94530"",""aamgnrc1"":""532 Liberty St"",""mlat"":""37.904235"",""bd"":""0"",""fsbid"":""14106"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISb1js2vdp6qrg1000000000.jpg"",""zusr"":""true"",""city"":""El_Cerrito"",""proptp"":""mfh"",""pid"":""18528198"",""yrblt"":""1900-1919"",""lot"":""1"",""listtp"":""buy_agent"",""zguidh"":""-7809164859594630452"",""premieragent"":""no"",""sqftrange"":""1000-1499"",""price"":""995950"",""oh"":""yes"",""sqft"":""1040"",""posting_url"":"""",""mlong"":""-122.300995"",""state"":""CA"",""park"":""yes"",""prange"":""900-999k""}}","null","null","null","null"
