web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572920566-2224","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/Vacant-Ave-LOT-PALMETTO-Pacifica-CA-94044/2085186593_zpid/","Pacifica, CA 94044","Lot/land","Vacant Ave LOT PALMETTO,","null","5,445 sqft","null","None","$1,050,000","null","null","null","null","null","null","null","7","5","null","null","Residential Lots & Land","Square Feet","Available - Not On Site","null"
"1572920516-2210","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/519-Vista-Mar-Ave-Pacifica-CA-94044/15475697_zpid/","Pacifica, CA 94044","For sale","519 Vista Mar Ave,","null","2","null","$1,263,839","$1,160,000","Single Family","1949","Forced air","Central","Attached Garage","6,198 sqft","$3,800/mo","7","5","null","null","Composition","null","null","$9,512"
"1572919939-2047","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/16-Yellowstone-Way-Pacifica-CA-94044/15507700_zpid/","Pacifica, CA 94044","Pre-foreclosure / auction","16 Yellowstone Way,","null","4","null","$898,007","$898,007","Single Family","1965","Other","No Data","Attached Garage","9,583 sqft","null","7","5","null","null","No","null","null","$9,690"
"1572920452-2192","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/156-Santa-Rosa-Ave-Pacifica-CA-94044/15489472_zpid/","Pacifica, CA 94044","For sale","156 Santa Rosa Ave,","857","2","1","$951,882","$899,000","Single Family","1940","Forced air","None","Detached Garage","4,499 sqft","$3,500/mo","7","5","null","null","Composition","null","Public Utilities","$2,761"
"1572920360-2163","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/0-Springwood-Way-2-Pacifica-CA-94044/2082730656_zpid/","Pacifica, CA 94044","Lot/land","0 Springwood Way # 2,","null","5.13 acres","null","None","$799,000","null","null","null","null","null","null","$3,100/mo","7","5","null","null","Residential Lots & Land","Square Feet","Electricity - Available at Street","null"
"1572920329-2154","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/716-Crespi-Dr-Pacifica-CA-94044/15503124_zpid/","Pacifica, CA 94044","Pre-foreclosure","716 Crespi Dr,","null","3","null","$820,525","$820,525","Single Family","1955","No Data","No Data","Attached Garage","5,227 sqft","null","7","5","null","null","No","null","null","$7,734"
"1572919959-2055","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/949-Regina-Way-Pacifica-CA-94044/15505751_zpid/","Pacifica, CA 94044","Pre-foreclosure / auction","949 Regina Way,","null","3","null","$720,694","$720,694","Single Family","1960","No Data","No Data","Attached Garage","6,534 sqft","null","7","5","null","null","No","null","null","$9,749"
"1572920296-2146","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/1335-Adobe-Dr-Pacifica-CA-94044/15506172_zpid/","Pacifica, CA 94044","Lot/land","1335 Adobe Dr,","null","0.43 acres","null","None","$2,500,000","null","null","null","null","null","null","$3,690/mo","7","5","null","null","Residential Lots & Land","Square Feet","Gas - Available at Street, Electricity - Available at Street","$8,910"
"1572919842-2024","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/9-Gypsy-Hill-Rd-Pacifica-CA-94044/2089801060_zpid/","Pacifica, CA 94044","Lot/land","9 Gypsy Hill Rd,","null","3.72 acres","null","None","$1,200,000","null","null","null","null","null","null","$2,550/mo","7","5","null","null","Residential Lots & Land","Square Feet","Public Utilities","null"
"1572919865-2030","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/140-Carmel-Ave-Pacifica-CA-94044/15489114_zpid/","Pacifica, CA 94044","Auction","140 Carmel Ave,","null","2","null","null","$677,014","Single Family","1925","No Data","No Data","Attached Garage","3,484 sqft","$3,600/mo","7","5","null","null","No","null","null","$3,957"
"1572920042-2081","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/227-Marvilla-Cir-Pacifica-CA-94044/15503177_zpid/","Pacifica, CA 94044","For sale","227 Marvilla Cir,","2,365","4","4","$1,500,058","$1,499,900","Single Family","1989","Forced air","None","Attached Garage","5,937 sqft","$5,500/mo","7","5","null","None","Shake/Shingle","null","Master Meter","$8,366"
"1572920097-2096","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/Vacant-LOT-CORONA-Pacifica-CA-94044/2083941544_zpid/","Pacifica, CA 94044","Lot/land","Vacant LOT CORONA,","null","5.4 acres","null","None","$1,500,000","null","null","null","null","null","null","$3,100/mo","7","5","null","null","Residential Lots & Land","Square Feet","Gas - Available at Street, Public Utilities","null"
"1572920420-2183","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/409-Pacific-Ave-Pacifica-CA-94044/15489580_zpid/","Pacifica, CA 94044","For sale","409 Pacific Ave,","730","2","1","$939,467","$849,000","Single Family","1956","Forced air","None","Attached Garage","2,400 sqft","$3,300/mo","7","5","null","null","Composition","null","Public Utilities","$1,805"
"1572920168-2112","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/L-1-B14-LOT-1-Pacifica-CA-94044/2083197647_zpid/","Pacifica, CA 94044","Lot/land","L 1 B14 LOT 1,","null","2,543 sqft","null","null","$65,000","null","null","null","null","null","null","$2,350/mo","7","5","null","null","Residential Lots & Land","Square Feet","None / No Utilities","null"
"1572920205-2123","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/541-Farallon-Ave-Pacifica-CA-94044/15477414_zpid/","Pacifica, CA 94044","Pre-foreclosure","541 Farallon Ave,","null","2","null","$640,868","$640,868","Single Family","1949","Other","No Data","Detached Garage","8,973 sqft","null","7","5","null","null","No","null","null","$4,610"
"1572920125-2101","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/0-Olympian-Way-Pacifica-CA-94044/2111048488_zpid/","Pacifica, CA 94044","Lot/land","0 Olympian Way,","null","0.64 acres","null","None","$1,100,000","null","null","null","null","null","null","$2,595/mo","7","5","null","null","Residential Lots & Land","Square Feet","Gas - Available at Street, Electricity - Available at Street, Public Utilities, Natural Gas","null"
"1572920137-2104","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/19-Lone-Mountain-Ct-Pacifica-CA-94044/51602532_zpid/","Pacifica, CA 94044","Auction","19 Lone Mountain Ct,","null","4","null","null","$843,427","Single Family","2000","Forced air","None","3 spaces","3,920 sqft","$4,200/mo","7","5","null","None","Tile","null","Public Utilities","$8,999"
"1572920557-2223","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/129-San-Jose-Ave-Pacifica-CA-94044/15489165_zpid/","Pacifica, CA 94044","For sale","129 San Jose Ave,","1,230","3","2","$948,073","$879,000","Single Family","1930","No Data","No Data","Detached Garage","4,499 sqft","$3,750/mo","7","5","null","null","Composition","null","Public Utilities","$1,412"
"1572920432-2188","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/205-Bonnie-Ln-Pacifica-CA-94044/15478273_zpid/","Pacifica, CA 94044","For sale by owner","205 Bonnie Ln,","2,540","3","3","$1,330,774","$1,150,000","Single Family","1981","Other","No Data","Attached Garage","6,229 sqft","$4,200/mo","7","5","null","null","No","null","null","$5,988"
"1572919912-2040","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/0-Pacific-125-Pacific-Ave-Pacifica-CA-94044/2085771018_zpid/","Pacifica, CA 94044","Lot/land","0 Pacific 125 Pacific Ave,","null","3,746 sqft","null","None","$495,000","null","null","null","null","null","null","$3,100/mo","7","5","null","null","Residential Lots & Land","Square Feet","Other","null"
"1572920335-2157","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/124-Paradise-Dr-Pacifica-CA-94044/15478221_zpid/","Pacifica, CA 94044","For sale","124 Paradise Dr,","1,260","3","2","$992,747","$949,000","Single Family","1967","Forced air","None","Attached Garage","3,998 sqft","$3,800/mo","7","5","null","null","Composition","null","Public Utilities","$2,516"
"1572920318-2152","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/37-Alviso-Ct-Pacifica-CA-94044/15506503_zpid/","Pacifica, CA 94044","Pre-foreclosure","37 Alviso Ct,","1,750","3","3","$691,754","$691,754","Single Family","1963","Other","No Data","2 spaces","8,712 sqft","null","7","5","null","null","No","null","null","$2,067"
"1572920053-2084","https://www.zillow.com/homes/pacifica,-ca_rb/","","https://www.zillow.com/homedetails/827-Big-Bend-Dr-Pacifica-CA-94044/15504077_zpid/","Pacifica, CA 94044","Pre-foreclosure","827 Big Bend Dr,","null","4","null","$879,991","$879,991","Single Family","1970","Other","No Data","Attached Garage","6,098 sqft","null","7","5","null","null","No","null","null","$2,392"
