web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,page2,page2-href,page3,page3-href,page4,page4-href,page5,page5-href,page6,page6-href,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572920135-10001","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/4982-Murchio-Dr-Concord-CA-94521/18374112_zpid/","Concord, CA 94521","For sale","4982 Murchio Dr,","","","","","","","","","","","1,659","3","2","$751,073","$739,999","Single Family","1983","Forced air","Central","Single Family","5,998 sqft","$3,200/mo","8","5","10","No Data","null","null","null","null"
"1572919277-9134","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/1682-Heartland-Ct-Concord-CA-94519/18346918_zpid/","Concord, CA 94519","Pre-foreclosure","1682 Heartland Ct,","","","","","","","","","6","https://www.zillow.com/concord-ca/6_p/","null","4","null","$656,567","$656,567","Single Family","1989","Forced air","Central","Single Family","7,350 sqft","null","4","2","6","No Data","null","null","null","null"
"1572919895-9824","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/4260-Clayton-Rd-APT-79-Concord-CA-94521/18371322_zpid/","Concord, CA 94521","For sale","4260 Clayton Rd APT 79,","","","3","https://www.zillow.com/concord-ca/3_p/","","","","","","","1,064","3","2","$399,901","$399,900","Condo","1972","Forced air","Central","Condo","$357/month","null","4","2","6","No Data","null","null","null","null"
"1572919963-9882","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/975-San-Miguel-Rd-Concord-CA-94518/18367330_zpid/","Concord, CA 94518","For sale","975 San Miguel Rd,","","","3","https://www.zillow.com/concord-ca/3_p/","","","","","","","1,754","3","2","$694,468","$675,000","Single Family","1952","Forced air","Central","Single Family","10,001 sqft","null","5","1","4","No Data","null","null","null","null"
"1572919801-9729","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/2035-Walnut-Shadows-Ct-Concord-CA-94518/18384300_zpid/","Concord, CA 94518","For sale","2035 Walnut Shadows Ct,","","","","","4","https://www.zillow.com/concord-ca/4_p/","","","","","3,104","5","3","$936,612","$949,000","Single Family","1991","Forced air","Central","Single Family","8,999 sqft","null","7","1","4","No Data","null","null","null","null"
"1572920158-10016","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/1505-Kirker-Pass-Rd-APT-142-Concord-CA-94521/72552003_zpid/","Concord, CA 94521","For sale","1505 Kirker Pass Rd APT 142,","","","","","","","","","","","744","2","1","$325,001","$325,000","Condo","1985","No Data","Wall","Condo","$343/month","null","5","5","10","No Data","null","null","null","null"
"1572919213-9065","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/2361-Ranchito-Dr-Concord-CA-94520/18342048_zpid/","Concord, CA 94520","Pre-foreclosure / auction","2361 Ranchito Dr,","","","","","","","","","6","https://www.zillow.com/concord-ca/6_p/","1,486","3","1","$540,839","$540,839","Single Family","1962","Forced air","Central","Single Family","0.27 acres","null","3","2","4","{""targetDiv"":""gpt-ad-cb068b35-6edf-4993-b619-743069f655a8"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""2361 Ranchito Dr"",""bd"":""3"",""city"":""Concord"",""proptp"":""sfh"",""pid"":""18342048"",""lot"":""3"",""zestibuck"":""500-599k"",""listtp"":""buy_foreclosure"",""zguidh"":""2571131141241501142"",""sqftrange"":""1000-1499"",""price"":""557566"",""sqft"":""1486"",""posting_url"":"""",""mlong"":""-122.029573"",""state"":""CA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""94520"",""mlat"":""38.002102"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISv4nxmteb881d1000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""hood"":""Olivera"",""yrblt"":""1960-1969"",""zestimate"":""557566"",""premieragent"":""no""}}","null","null","null","null"
"1572920189-10037","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/1044-Mohr-Ln-APT-C-Concord-CA-94518/18386789_zpid/","Concord, CA 94518","For sale","1044 Mohr Ln APT C,","","","","","","","","","","","870","2","1","$270,002","$270,000","Condo","1969","Forced air","Central","Condo","$335/month","$2,000/mo","3","1","4","No Data","null","null","null","null"
"1572920015-9919","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/1240-Pear-Dr-Concord-CA-94518/18385585_zpid/","Concord, CA 94518","For sale","1240 Pear Dr,","2","https://www.zillow.com/concord-ca/2_p/","","","","","","","","","1,672","5","2","null","$599,500","Single Family","1950","Forced air","Central","Single Family","7,819 sqft","$2,800/mo","2","1","4","No Data","null","null","null","null"
"1572919375-9250","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/1255-Hale-Dr-Concord-CA-94518/18339695_zpid/","Concord, CA 94518","Pre-foreclosure","1255 Hale Dr,","","","","","","","5","https://www.zillow.com/concord-ca/5_p/","","","null","3","null","$587,992","$587,992","Single Family","1953","No Data","No Data","Single Family","8,624 sqft","null","4","2","6","No Data","null","null","null","null"
"1572920215-10049","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/2133-Dalis-Dr-93-Concord-CA-94520/2082139367_zpid/","Concord, CA 94520","For sale","2133 Dalis Dr # 93,","","","","","","","","","","","888","2","2","None","$120,000","Mobile / Manufactured","No Data","Forced air","Central","Mobile / Manufactured","$135","null","3","2","4","{""targetDiv"":""gpt-ad-5212d16a-73a6-4410-b9fa-89bbcc7c489e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":"" 93"",""zip"":""94520"",""aamgnrc1"":""2133 Dalis Dr"",""mlat"":""37.99902"",""bd"":""2"",""fsbid"":""15263"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISvw4yoem9ooas1000000000.jpg"",""zusr"":""true"",""city"":""Concord"",""proptp"":""mm"",""pid"":""2082139367"",""hood"":""Olivera"",""listtp"":""buy_agent"",""zguidh"":""4976918673711137666"",""premieragent"":""no"",""sqftrange"":""500-999"",""price"":""120000"",""sqft"":""888"",""posting_url"":"""",""mlong"":""-122.042943"",""state"":""CA"",""prange"":""100-149k""}}","null","null","null","null"
"1572919958-9879","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/1522-Silverleaf-Ln-Concord-CA-94521/89037844_zpid/","Concord, CA 94521","For sale","1522 Silverleaf Ln,","","","3","https://www.zillow.com/concord-ca/3_p/","","","","","","","1,838","4","3","$759,007","$759,000","Single Family","2008","Forced air","Central","Single Family","4,199 sqft","$3,400/mo","8","5","10","No Data","null","null","null","null"
"1572919348-9218","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/2055-Sierra-Rd-APT-85-Concord-CA-94518/18369072_zpid/","Concord, CA 94518","Auction","2055 Sierra Rd APT 85,","","","","","","","","","6","https://www.zillow.com/concord-ca/6_p/","null","1","null","null","$249,743","Condo","1984","Forced air","Central","Condo","$388/month","$1,750/mo","2","1","4","{""targetDiv"":""gpt-ad-72db755b-dadb-405c-b7e0-0e203468bdbc"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 85"",""aamgnrc1"":""2055 Sierra Rd"",""bd"":""1"",""fsbid"":""16886"",""city"":""Concord"",""proptp"":""cnd"",""pid"":""18369072"",""zestibuck"":""250-299k"",""listtp"":""buy_foreclosure"",""zguidh"":""1547639394265609589"",""sqftrange"":""500-999"",""price"":""249743"",""sqft"":""639"",""posting_url"":""http://www.auction.com/details/2055-sierra-rd-apt-85-concord-ca-94518-2842089-e_13911/?utm_source=zillow&utm_medium=feed&utm_campaign=trustee&utm_name=partner"",""mlong"":""-122.034323"",""state"":""CA"",""park"":""yes"",""prange"":""200-249k"",""zip"":""94518"",""mlat"":""37.955635"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISn6f24k7sepzk0000000000.jpg"",""zusr"":""true"",""price_band"":""z200"",""hood"":""Four_Corners"",""yrblt"":""1980-1989"",""zestimate"":""257413"",""premieragent"":""no""}}","null","null","null","null"
"1572919230-9083","https://www.zillow.com/homes/concord-CA_rb/","","https://www.zillow.com/homedetails/4260-Clayton-Rd-APT-23-Concord-CA-94521/18371266_zpid/","Concord, CA 94521","Pre-foreclosure / auction","4260 Clayton Rd APT 23,","","","","","","","","","6","https://www.zillow.com/concord-ca/6_p/","null","3","null","$388,183","$388,183","Condo","1972","Forced air","Central","Condo","No Data","null","4","2","6","{""targetDiv"":""gpt-ad-46904160-bb17-4936-bc91-3e1870463707"",""slot"":""zillow/property_details/buy_foreclosure/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt 23"",""aamgnrc1"":""4260 Clayton Rd"",""bd"":""3"",""city"":""Concord"",""proptp"":""cnd"",""pid"":""18371266"",""lot"":""1"",""zestibuck"":""400-449k"",""listtp"":""buy_foreclosure"",""zguidh"":""3944990365538184889"",""sqftrange"":""1000-1499"",""price"":""400189"",""sqft"":""1064"",""posting_url"":"""",""mlong"":""-121.994554"",""state"":""CA"",""park"":""yes"",""prange"":""400-449k"",""zip"":""94521"",""mlat"":""37.964425"",""z_listing_image_url"":"""",""zusr"":""true"",""price_band"":""z400"",""hood"":""Clayton_Valley"",""yrblt"":""1970-1979"",""zestimate"":""400189"",""premieragent"":""no""}}","null","null","null","null"
