web-scraper-order,web-scraper-start-url,house_link,house_link-href,state_city_zip,status,address,area_sqft,bedroom,bathroom,zestimate,asking_price,type,year_built,heating,cooling,parking,lot,rent_zestimate,elementrary_rating,middle_school_rating,high_school_rating,kitchen_feature,construction_material,roof,utility,annual_tax_amount
"1572919977-2062","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/2631-Simas-Ave-Pinole-CA-94564/18485002_zpid/","Pinole, CA 94564","Pre-foreclosure / auction","2631 Simas Ave,","null","3","null","$616,457","$616,457","Single Family","1968","No Data","No Data","2 spaces","0.64 acres","null","4","2","4","null","No","null","null","$5,010"
"1572920382-2172","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/242-N-Rancho-Pl-El-Sobrante-CA-94564/18518434_zpid/","El Sobrante, CA 94564","Pre-foreclosure","242 N Rancho Pl,","null","4","null","$715,836","$715,836","Single Family","1999","No Data","No Data","3 spaces","10,542 sqft","null","5","2","3","null","No","null","null","$7,875"
"1572919965-2059","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/2950-Estates-Ave-APT-5-Pinole-CA-94564/18485688_zpid/","Pinole, CA 94564","For sale","2950 Estates Ave APT 5,","985","2","2","$270,004","$270,000","Condo","1963","Forced air","Central","1 space","$461/month","null","3","2","4","null","Composition","null","null","$3,928"
"1572919990-2065","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/219-Alfred-Dr-Pinole-CA-94564/18496009_zpid/","Pinole, CA 94564","Pre-foreclosure","219 Alfred Dr,","1,225","3","2","$514,972","$514,972","Single Family","1965","Other","No Data","2 spaces","5,941 sqft","null","4","2","4","null","No","null","null","$7,539"
"1572920310-2149","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/2434-Faria-Ave-Pinole-CA-94564/18484427_zpid/","Pinole, CA 94564","For sale","2434 Faria Ave,","1,158","3","2","$605,667","$599,000","Single Family","1959","Forced air","Central","2 spaces","8,250 sqft","null","3","2","4","null","Stucco","Window Coverings","null","$5,997"
"1572920445-2190","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/2801-Ruff-Ave-Pinole-CA-94564/18484431_zpid/","Pinole, CA 94564","For sale","2801 Ruff Ave,","1,103","4","2","$528,139","$525,000","Single Family","1959","Forced air","Central","1 space","9,134 sqft","$2,900/mo","3","2","4","Central AC","Composition","null","Public Utilities","$6,243"
"1572920117-2099","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/2019-Shea-Dr-Pinole-CA-94564/18518898_zpid/","Pinole, CA 94564","Pre-foreclosure","2019 Shea Dr,","1,928","4","3","$653,424","$653,424","Single Family","1979","Other","Central","2 spaces","9,000 sqft","null","3","2","4","null","Shake/Shingle","null","null","$7,100"
"1572920239-2131","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/3683-Victor-St-Pinole-CA-94564/18485051_zpid/","Pinole, CA 94564","For sale","3683 Victor St,","1,244","3","2","$609,713","$599,000","Single Family","1968","Forced air","Central, Other","2 spaces","9,500 sqft","$3,000/mo","4","2","4","Hookups only","Other, Stucco","Window Coverings","null","$6,850"
"1572920203-2122","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/2305-Taper-Ct-Pinole-CA-94564/18484505_zpid/","Pinole, CA 94564","For sale","2305 Taper Ct,","1,608","3","2","null","$599,000","Single Family","1959","Forced air","Central","2 spaces","5,898 sqft","$2,500/mo","4","2","4","null","Composition","null","null","$5,562"
"1572920179-2115","https://www.zillow.com/homes/pinole,-ca_rb/","","https://www.zillow.com/homedetails/2688-Emma-Dr-Pinole-CA-94564/18495336_zpid/","Pinole, CA 94564","Pre-foreclosure","2688 Emma Dr,","null","4","null","$639,623","$639,623","Single Family","1963","Other","No Data","2 spaces","7,200 sqft","null","4","2","4","null","Built up","null","null","$8,608"
