RState,RCounty,WState,WCounty,Number,ME,start_year,end_year
California,Marin County,California,Santa Clara County,1097,236.0,2011,2015
California,Marin County,California,Solano County,472,140.0,2011,2015
California,Marin County,California,Sonoma County,4387,533.0,2011,2015
California,Napa County,California,Alameda County,1047,231.0,2011,2015
California,Napa County,California,Contra Costa County,1873,277.0,2011,2015
California,Napa County,California,Marin County,1312,264.0,2011,2015
California,Napa County,California,Napa County,51743,1015.0,2011,2015
California,Napa County,California,San Francisco County,1788,262.0,2011,2015
California,Napa County,California,San Mateo County,525,168.0,2011,2015
California,Napa County,California,Santa Clara County,460,161.0,2011,2015
California,Napa County,California,Solano County,4422,440.0,2011,2015
California,Napa County,California,Sonoma County,2423,335.0,2011,2015
California,San Francisco County,California,Alameda County,21561,1202.0,2011,2015
California,San Francisco County,California,Contra Costa County,4116,497.0,2011,2015
California,San Francisco County,California,Marin County,6933,645.0,2011,2015
California,San Francisco County,California,Napa County,321,140.0,2011,2015
California,San Francisco County,California,San Francisco County,353484,3127.0,2011,2015
California,San Francisco County,California,San Mateo County,48768,1703.0,2011,2015
California,San Francisco County,California,Santa Clara County,27100,1356.0,2011,2015
California,San Francisco County,California,Solano County,506,147.0,2011,2015
California,San Francisco County,California,Sonoma County,990,280.0,2011,2015
California,San Mateo County,California,Alameda County,12423,712.0,2011,2015
California,San Mateo County,California,Contra Costa County,1916,325.0,2011,2015
California,San Mateo County,California,Marin County,1004,212.0,2011,2015
California,San Mateo County,California,Napa County,114,85.0,2011,2015
California,San Mateo County,California,San Francisco County,81943,1693.0,2011,2015
California,San Mateo County,California,San Mateo County,218287,2527.0,2011,2015
California,San Mateo County,California,Santa Clara County,58936,1762.0,2011,2015
California,San Mateo County,California,Solano County,302,94.0,2011,2015
California,San Mateo County,California,Sonoma County,149,88.0,2011,2015
California,Santa Clara County,California,Alameda County,37913,1328.0,2011,2015
California,Santa Clara County,California,Contra Costa County,3310,450.0,2011,2015
California,Santa Clara County,California,Marin County,323,106.0,2011,2015
California,Santa Clara County,California,Napa County,90,70.0,2011,2015
California,Santa Clara County,California,San Francisco County,14241,755.0,2011,2015
California,Santa Clara County,California,San Mateo County,45818,1387.0,2011,2015
California,Santa Clara County,California,Santa Clara County,774477,3916.0,2011,2015
California,Santa Clara County,California,Solano County,267,108.0,2011,2015
California,Santa Clara County,California,Sonoma County,389,174.0,2011,2015
California,Solano County,California,Alameda County,10315,662.0,2011,2015
California,Solano County,California,Contra Costa County,19504,955.0,2011,2015
California,Solano County,California,Marin County,5272,627.0,2011,2015
California,Solano County,California,Napa County,11850,814.0,2011,2015
California,Solano County,California,San Francisco County,8974,704.0,2011,2015
California,Solano County,California,San Mateo County,2616,307.0,2011,2015
California,Solano County,California,Santa Clara County,1496,300.0,2011,2015
California,Solano County,California,Solano County,109059,1940.0,2011,2015
California,Solano County,California,Sonoma County,2780,295.0,2011,2015
California,Sonoma County,California,Alameda County,2271,313.0,2011,2015
California,Sonoma County,California,Contra Costa County,1155,241.0,2011,2015
California,Sonoma County,California,Marin County,15863,642.0,2011,2015
California,Sonoma County,California,Napa County,4434,547.0,2011,2015
California,Sonoma County,California,San Francisco County,6811,554.0,2011,2015
California,Sonoma County,California,San Mateo County,1233,214.0,2011,2015
California,Sonoma County,California,Santa Clara County,1095,231.0,2011,2015
California,Sonoma County,California,Solano County,1009,210.0,2011,2015
California,Sonoma County,California,Sonoma County,197589,2263.0,2011,2015
